Date,Open,High,Low,Close,Volume
2017-12-30,0.4955,0.6941,0.42,0.59,0
2017-12-31,0.59,0.74,0.59,0.71,0
2018-01-01,0.71,0.715,0.632,0.7022,0
2018-01-02,0.7022,0.8,0.675,0.762,0
2018-01-03,0.762,1.1,0.7601,1.1,0
2018-01-04,1.11,1.38,1.04,1.13,0
2018-01-05,1.15,1.3,0.9,1.01,0
2018-01-06,1.01,1.08,0.908,1.04,0
2018-01-07,1.03,1.05,0.979,1.01,0
2018-01-08,1.01,1.02,0.7359,0.9,0
2018-01-09,0.9,0.954,0.772,0.81,0
2018-01-10,0.81,0.8293,0.6559,0.7765,0
2018-01-11,0.78,0.783,0.51,0.68,0
2018-01-12,0.679,0.93,0.631,0.895,0
2018-01-13,0.8983,0.959,0.8329,0.879,0
2018-01-14,0.879,0.89,0.72,0.8,0
2018-01-15,0.8,0.8666,0.75,0.77,0
2018-01-16,0.7724,0.7952,0.45,0.61,0
2018-01-17,0.6,0.6839,0.434,0.6242,0
2018-01-18,0.625,0.6996,0.6,0.65,0
2018-01-19,0.65,0.6964,0.589,0.6441,0
2018-01-20,0.6479,0.7263,0.64,0.7048,0
2018-01-21,0.7049,0.7049,0.5765,0.61,0
2018-01-22,0.6165,0.64,0.51,0.5675,0
2018-01-23,0.5699,0.59,0.5166,0.5601,0
2018-01-24,0.5619,0.65,0.537,0.628,0
2018-01-25,0.63,0.685,0.6185,0.635,0
2018-01-26,0.635,0.655,0.5611,0.611,0
2018-01-27,0.611,0.642,0.595,0.6256,0
2018-01-28,0.6256,0.67,0.6131,0.6456,0
2018-01-29,0.6456,0.6466,0.5881,0.5904,0
2018-01-30,0.5904,0.603,0.5,0.525,0
2018-01-31,0.525,0.525,0.463,0.503,0
2018-02-01,0.503,0.5217,0.389,0.4119,0
2018-02-02,0.4119,0.4217,0.2958,0.3896,0
2018-02-03,0.3896,0.514,0.3453,0.457,0
2018-02-04,0.457,0.4838,0.364,0.4,0
2018-02-05,0.4,0.4038,0.2929,0.312,0
2018-02-06,0.3118,0.36,0.2615,0.34,0
2018-02-07,0.34,0.38,0.3218,0.345,0
2018-02-08,0.345,0.361,0.3235,0.344,0
2018-02-09,0.344,0.386,0.32,0.375,0
2018-02-10,0.375,0.438,0.3583,0.3865,0
2018-02-11,0.3865,0.3865,0.3418,0.362,0
2018-02-12,0.362,0.3799,0.348,0.37,0
2018-02-13,0.37,0.3779,0.342,0.355,0
2018-02-14,0.355,0.388,0.3521,0.387,0
2018-02-15,0.387,0.404,0.37,0.393,0
2018-02-16,0.393,0.395,0.3704,0.3921,0
2018-02-17,0.3921,0.4185,0.3855,0.41,0
2018-02-18,0.41,0.4116,0.36,0.3686,0
2018-02-19,0.3686,0.3865,0.36,0.374,0
2018-02-20,0.374,0.3869,0.35,0.35,0
2018-02-21,0.35,0.355,0.325,0.333,0
2018-02-22,0.333,0.3471,0.304,0.3127,0
2018-02-23,0.3127,0.3339,0.3,0.32,0
2018-02-24,0.32,0.3296,0.289,0.2995,0
2018-02-25,0.2995,0.336,0.2948,0.327,0
2018-02-26,0.327,0.331,0.3033,0.33,0
2018-02-27,0.33,0.3349,0.3176,0.3306,0
2018-02-28,0.3306,0.3322,0.306,0.3083,0
2018-03-01,0.3083,0.3102,0.2824,0.304,0
2018-03-02,0.304,0.3062,0.2842,0.2928,0
2018-03-03,0.2928,0.3054,0.288,0.2912,0
2018-03-04,0.2912,0.303,0.283,0.303,0
2018-03-05,0.303,0.3187,0.289,0.2977,0
2018-03-06,0.2977,0.299,0.2764,0.278,0
2018-03-07,0.278,0.2825,0.2255,0.2465,0
2018-03-08,0.2465,0.2478,0.212,0.2131,0
2018-03-09,0.2131,0.218,0.184,0.21,0
2018-03-10,0.21,0.2222,0.1975,0.2028,0
2018-03-11,0.2028,0.2228,0.1896,0.2205,0
2018-03-12,0.2205,0.2325,0.209,0.2198,0
2018-03-13,0.2198,0.225,0.21,0.2147,0
2018-03-14,0.2147,0.2295,0.1877,0.192,0
2018-03-15,0.192,0.197,0.1672,0.1822,0
2018-03-16,0.1822,0.1844,0.171,0.1805,0
2018-03-17,0.1805,0.1808,0.15,0.154,0
2018-03-18,0.154,0.1628,0.1238,0.153,0
2018-03-19,0.153,0.189,0.153,0.189,0
2018-03-20,0.189,0.2068,0.1747,0.2021,0
2018-03-21,0.203,0.224,0.1969,0.2075,0
2018-03-22,0.2075,0.2169,0.1856,0.1965,0
2018-03-23,0.1965,0.2022,0.1802,0.1807,0
2018-03-24,0.1807,0.202,0.1798,0.1882,0
2018-03-25,0.1882,0.1898,0.18,0.1874,0
2018-03-26,0.1874,0.1888,0.156,0.1578,0
2018-03-27,0.1578,0.1691,0.1474,0.1569,0
2018-03-28,0.1569,0.1622,0.1519,0.1573,0
2018-03-29,0.1573,0.1604,0.1403,0.1441,0
2018-03-30,0.1441,0.1491,0.1321,0.1438,0
2018-03-31,0.1438,0.1583,0.1384,0.1519,0
2018-04-01,0.1519,0.1571,0.138,0.1484,0
2018-04-02,0.1484,0.1557,0.1452,0.15,0
2018-04-03,0.15,0.1709,0.15,0.1663,0
2018-04-04,0.1663,0.1765,0.1492,0.1521,0
2018-04-05,0.1521,0.1555,0.14,0.1464,0
2018-04-06,0.1464,0.1489,0.14,0.1437,0
2018-04-07,0.1437,0.1508,0.1411,0.1488,0
2018-04-08,0.1488,0.1587,0.1455,0.1545,0
2018-04-09,0.1545,0.1658,0.1449,0.1491,0
2018-04-10,0.1491,0.1578,0.1462,0.1565,0
2018-04-11,0.1565,0.1677,0.1524,0.1642,0
2018-04-12,0.1642,0.2181,0.1633,0.2108,0
2018-04-13,0.211,0.2243,0.1999,0.2012,0
2018-04-14,0.2012,0.2142,0.1957,0.2082,0
2018-04-15,0.2082,0.2293,0.203,0.2241,0
2018-04-16,0.2241,0.2541,0.212,0.2426,0
2018-04-17,0.2426,0.2747,0.2426,0.2518,0
2018-04-18,0.2518,0.2627,0.2416,0.2625,0
2018-04-19,0.2625,0.2755,0.2594,0.2699,0
2018-04-20,0.2699,0.2988,0.2668,0.2975,0
2018-04-21,0.2975,0.3071,0.2691,0.2839,0
2018-04-22,0.2839,0.2964,0.2767,0.2902,0
2018-04-23,0.2902,0.291,0.28,0.2858,0
2018-04-24,0.2858,0.3202,0.2837,0.317,0
2018-04-25,0.3159,0.3173,0.2612,0.2852,0
2018-04-26,0.2852,0.2887,0.2566,0.2853,0
2018-04-27,0.2853,0.306,0.2841,0.2897,0
2018-04-28,0.2897,0.3633,0.282,0.3458,0
2018-04-29,0.3458,0.3882,0.3434,0.3634,0
2018-04-30,0.3634,0.3672,0.335,0.3362,0
2018-05-01,0.3362,0.3604,0.319,0.3593,0
2018-05-02,0.3593,0.3751,0.3467,0.3685,0
2018-05-03,0.3685,0.3882,0.3652,0.3712,0
2018-05-04,0.3712,0.3716,0.3462,0.362,0
2018-05-05,0.362,0.375,0.3572,0.363,0
2018-05-06,0.363,0.3673,0.3366,0.3421,0
2018-05-07,0.3421,0.3494,0.3157,0.3345,0
2018-05-08,0.3345,0.3448,0.3165,0.3257,0
2018-05-09,0.3257,0.3274,0.2982,0.3165,0
2018-05-10,0.3165,0.3235,0.3021,0.3046,0
2018-05-11,0.3046,0.3046,0.2492,0.2526,0
2018-05-12,0.2526,0.278,0.2331,0.2618,0
2018-05-13,0.2618,0.2844,0.257,0.278,0
2018-05-14,0.278,0.2811,0.2511,0.2696,0
2018-05-15,0.2696,0.2757,0.2561,0.2589,0
2018-05-16,0.2589,0.2595,0.2386,0.2439,0
2018-05-17,0.2459,0.2612,0.243,0.243,0
2018-05-18,0.2426,0.2525,0.2306,0.2434,0
2018-05-19,0.2434,0.2475,0.2353,0.2393,0
2018-05-20,0.2393,0.2601,0.2384,0.2557,0
2018-05-21,0.2555,0.2595,0.2435,0.2457,0
2018-05-22,0.2457,0.2483,0.224,0.224,0
2018-05-23,0.224,0.2257,0.1929,0.2059,0
2018-05-24,0.2059,0.2107,0.1891,0.2018,0
2018-05-25,0.2018,0.2103,0.1945,0.1977,0
2018-05-26,0.1977,0.2045,0.1911,0.1992,0
2018-05-27,0.1992,0.1997,0.1861,0.1906,0
2018-05-28,0.1906,0.1942,0.1759,0.1759,0
2018-05-29,0.1759,0.209,0.1709,0.2049,0
2018-05-30,0.2049,0.2168,0.1972,0.2042,0
2018-05-31,0.2042,0.2282,0.2034,0.2235,0
2018-06-01,0.2249,0.2277,0.2142,0.2145,0
2018-06-02,0.2145,0.2293,0.2145,0.225,0
2018-06-03,0.225,0.2363,0.222,0.2275,0
2018-06-04,0.2275,0.2314,0.21,0.2158,0
2018-06-05,0.2158,0.2217,0.2024,0.2175,0
2018-06-06,0.2175,0.2199,0.2078,0.2144,0
2018-06-07,0.2144,0.219,0.2083,0.2086,0
2018-06-08,0.2086,0.2111,0.2002,0.2061,0
2018-06-09,0.2061,0.2097,0.2016,0.2022,0
2018-06-10,0.2022,0.2031,0.173,0.174,0
2018-06-11,0.174,0.1777,0.1648,0.171,0
2018-06-12,0.171,0.181,0.1606,0.1615,0
2018-06-13,0.1615,0.1655,0.1461,0.154,0
2018-06-14,0.154,0.1746,0.1504,0.1714,0
