Date,Open,High,Low,Close,Volume
2017-12-31,0.4955,0.74,0.42,0.71,0
2018-01-31,0.71,1.38,0.434,0.503,0
2018-02-28,0.503,0.5217,0.2615,0.3083,0
2018-03-31,0.3083,0.3187,0.1238,0.1519,0
2018-04-30,0.1519,0.3882,0.138,0.3362,0
2018-05-31,0.3362,0.3882,0.1709,0.2235,0
2018-06-30,0.2249,0.2363,0.1133,0.1344,0
2018-07-31,0.1344,0.1961,0.1223,0.1418,0
2018-08-31,0.1418,0.1443,0.08461,0.1019,0
2018-09-30,0.1019,0.112,0.06034,0.08484,0
2018-10-31,0.08484,0.09,0.06783,0.07131,0
2018-11-30,0.07131,0.08163,0.02801,0.03844,0
2018-12-31,0.03844,0.04957,0.02719,0.04043,0
2019-01-31,0.04043,0.06757,0.03657,0.03869,0
2019-02-28,0.03869,0.0505,0.03529,0.0434,0
2019-03-31,0.0434,0.07267,0.03944,0.07102,0
2019-04-30,0.07102,0.1014,0.06329,0.06749,0
2019-05-31,0.06747,0.1003,0.05896,0.08746,0
2019-06-30,0.08746,0.1063,0.07733,0.08496,0
2019-07-31,0.08496,0.08537,0.05012,0.05958,0
2019-08-31,0.05958,0.0602,0.04353,0.04519,0
2019-09-30,0.04519,0.05558,0.03515,0.0387,0
2019-10-31,0.03867,0.04472,0.03551,0.04111,0
2019-11-30,0.04111,0.0463,0.03334,0.04061,0
2019-12-31,0.04062,0.04202,0.03065,0.03281,0
2020-01-31,0.03279,0.0575,0.03236,0.05441,0
2020-02-29,0.0544,0.07226,0.04613,0.04804,0
2020-03-31,0.04813,0.05788,0.01871,0.03055,0
2020-04-30,0.03055,0.05441,0.02955,0.04861,0
2020-05-31,0.04861,0.08643,0.04308,0.07602,0
2020-06-30,0.07602,0.09025,0.0694,0.08399,0
2020-07-31,0.08399,0.1548,0.08304,0.1397,0
2020-08-31,0.1397,0.1526,0.1031,0.1225,0
2020-09-30,0.1225,0.1282,0.07571,0.1,0
2020-10-31,0.1,0.114,0.08951,0.09343,0
2020-11-30,0.09343,0.1828,0.08843,0.1693,0
2020-12-31,0.1693,0.1964,0.1269,0.1797,0
2021-01-31,0.1797,0.3973,0.1688,0.3464,0
2021-02-28,0.3463,1.484,0.3335,1.295,0
2021-03-31,1.295,1.473,0.9872,1.194,0
2021-04-30,1.195,1.555,0.9403,1.348,0
2021-05-31,1.348,2.46,1.056,1.686,0
2021-06-30,1.685,1.888,1.002,1.374,0
2021-07-31,1.374,1.494,1.022,1.322,0
2021-08-31,1.322,2.968,1.263,2.761,0
2021-09-30,2.759,3.097,1.915,2.114,0
2021-10-31,2.114,2.372,1.849,1.971,0
2021-11-30,1.971,2.375,1.4298,1.5628,0
2021-12-31,1.5625,1.7599,1.18447,1.30713,1941621329.4491
2022-01-31,1.30813,1.63765,0.91718,1.05052,14676407009.184
2022-02-28,1.05052,1.26388,0.74637,0.944378,10512450808.628
2022-03-31,0.946378,1.245498,0.776078,1.15823,8334108236.0377
2022-04-30,1.15835,1.24537,0.778678,0.7802,5271354631.5439
2022-05-31,0.7801,0.905319,0.385822,0.610511,9775056882.7784
2022-06-30,0.612728,0.668505,0.420177,0.44147,12882879739.522
2022-07-31,0.441569,0.555314,0.410618,0.527131,23052624289.669
2022-08-31,0.527131,0.594468,0.424726,0.454945,21081063372.672
2022-09-30,0.454945,0.523028,0.424925,0.43155,16977737190.504
2022-10-31,0.431323,0.439536,0.33,0.405578,15779422688.299
2022-11-30,0.405786,0.437689,0.295231,0.320013,12223987836.871
2022-12-31,0.32005,0.329029,0.239209,0.246227,6543794749.8083
2023-01-31,0.246187,0.399734,0.243471,0.389255,12537349255.993
2023-02-28,0.389255,0.421239,0.345428,0.35227,7062560239.8218
2023-03-31,0.352277,0.40916,0.297689,0.404501,10516809434.245
2023-04-30,0.404501,0.462007,0.371161,0.396846,8085643918.1353
2023-05-31,0.397733,0.399764,0.349629,0.37529,4890686488.1049
2023-06-30,0.37534,0.38201,0.217971,0.287112,10810746437.88
2023-07-31,0.287182,0.377567,0.276269,0.306988,8288305003.9476
2023-08-31,0.306988,0.311784,0.236978,0.25403,6706736967.0003
2023-09-30,0.254077,0.260173,0.236824,0.253311,3611550908.3576
2023-10-31,0.253181,0.304722,0.239678,0.291752,4355644478.0643
2023-11-30,0.291612,0.402127,0.284398,0.37585,7638373723.613
2023-12-31,0.375774,0.679446,0.373775,0.588473,11322399234.533
2024-01-31,0.589173,0.637181,0.447258,0.500699,6194191185.1857
2024-02-29,0.500405,0.708398,0.473911,0.648362,4940061125.7005
2024-03-31,0.648983,0.81002,0.570132,0.646198,7937125181.1333
2024-04-30,0.645998,0.651549,0.400184,0.439019,8530984877.4276
2024-05-31,0.439019,0.475953,0.418008,0.460751,2942893305.1189
