Date,Open,High,Low,Close,Volume
2017-12-31,0.4955,0.74,0.42,0.71,0
2018-01-07,0.71,1.38,0.632,1.01,0
2018-01-14,1.01,1.02,0.51,0.8,0
2018-01-21,0.8,0.8666,0.434,0.61,0
2018-01-28,0.6165,0.685,0.51,0.6456,0
2018-02-04,0.6456,0.6466,0.2958,0.4,0
2018-02-11,0.4,0.438,0.2615,0.362,0
2018-02-18,0.362,0.4185,0.342,0.3686,0
2018-02-25,0.3686,0.3869,0.289,0.327,0
2018-03-04,0.327,0.3349,0.2824,0.303,0
2018-03-11,0.303,0.3187,0.184,0.2205,0
2018-03-18,0.2205,0.2325,0.1238,0.153,0
2018-03-25,0.153,0.224,0.153,0.1874,0
2018-04-01,0.1874,0.1888,0.1321,0.1484,0
2018-04-08,0.1484,0.1765,0.14,0.1545,0
2018-04-15,0.1545,0.2293,0.1449,0.2241,0
2018-04-22,0.2241,0.3071,0.212,0.2902,0
2018-04-29,0.2902,0.3882,0.2566,0.3634,0
2018-05-06,0.3634,0.3882,0.319,0.3421,0
2018-05-13,0.3421,0.3494,0.2331,0.278,0
2018-05-20,0.278,0.2811,0.2306,0.2557,0
2018-05-27,0.2555,0.2595,0.1861,0.1906,0
2018-06-03,0.1906,0.2363,0.1709,0.2275,0
2018-06-10,0.2275,0.2314,0.173,0.174,0
2018-06-17,0.174,0.181,0.1461,0.1616,0
2018-06-24,0.1616,0.1709,0.1196,0.1325,0
2018-07-01,0.1325,0.1459,0.1133,0.1419,0
2018-07-08,0.1419,0.161,0.1375,0.1465,0
2018-07-15,0.1465,0.147,0.1223,0.1444,0
2018-07-22,0.1445,0.1961,0.1411,0.1684,0
2018-07-29,0.1684,0.1802,0.156,0.1625,0
2018-08-05,0.1625,0.1643,0.1234,0.1311,0
2018-08-12,0.131,0.136,0.1075,0.1125,0
2018-08-19,0.1125,0.1141,0.08461,0.1023,0
2018-08-26,0.1024,0.1032,0.0872,0.09244,0
2018-09-02,0.09243,0.112,0.09229,0.106,0
2018-09-09,0.106,0.1074,0.07365,0.07841,0
2018-09-16,0.07839,0.07839,0.06034,0.06985,0
2018-09-23,0.06985,0.09433,0.06211,0.0895,0
2018-09-30,0.0895,0.0935,0.0741,0.08484,0
2018-10-07,0.08484,0.09,0.07894,0.08357,0
2018-10-14,0.08357,0.0887,0.06883,0.07229,0
2018-10-21,0.07229,0.08146,0.0688,0.07629,0
2018-10-28,0.07629,0.07847,0.0705,0.07349,0
2018-11-04,0.07349,0.07793,0.06783,0.07712,0
2018-11-11,0.07712,0.08163,0.0732,0.07604,0
2018-11-18,0.07604,0.07816,0.05592,0.0611,0
2018-11-25,0.0611,0.06946,0.02801,0.03704,0
2018-12-02,0.03704,0.04787,0.03131,0.04154,0
2018-12-09,0.04154,0.04198,0.02719,0.03141,0
2018-12-16,0.03141,0.03293,0.02733,0.02886,0
2018-12-23,0.02886,0.04494,0.02846,0.04384,0
2018-12-30,0.04384,0.04957,0.03596,0.04324,0
