Date,Open,High,Low,Close,Volume
2019-05-01,4.38,4.71,4.27,4.45,0
2019-05-02,4.45,4.68,4.17,4.46,0
2019-05-03,4.49,5.04,4.43,5,0
2019-05-04,5,5.52,4.69,5.26,0
2019-05-05,5.26,5.33,4.79,4.9,0
2019-05-06,4.9,5.09,4.47,4.71,0
2019-05-07,4.71,5.24,4.55,4.66,0
2019-05-08,4.66,4.74,4.25,4.31,0
2019-05-09,4.31,4.48,3.42,3.73,0
2019-05-10,3.73,4.06,3.63,3.73,0
2019-05-11,3.73,4.25,3.71,4.17,0
2019-05-12,4.17,4.24,3.73,4.03,0
2019-05-13,4.03,4.19,3.82,4,0
2019-05-14,4,4.14,3.8,3.82,0
2019-05-15,3.82,4.65,3.82,4.57,0
2019-05-16,4.57,4.8,4,4.29,0
2019-05-17,4.29,4.75,3.79,4.4,0
2019-05-18,4.4,4.94,4.31,4.79,0
2019-05-19,4.79,5.17,4.62,4.92,0
2019-05-20,4.92,4.99,4.46,4.77,0
2019-05-21,4.77,4.89,4.52,4.76,0
2019-05-22,4.76,4.81,4.4,4.4,0
2019-05-23,4.4,4.45,4.12,4.25,0
2019-05-24,4.25,4.79,4.25,4.62,0
2019-05-25,4.62,4.62,4.32,4.33,0
2019-05-26,4.33,4.55,4.26,4.52,0
2019-05-27,4.52,4.7,4.49,4.63,0
2019-05-28,4.63,4.82,4.5,4.79,0
2019-05-29,4.79,4.83,4.51,4.69,0
2019-05-30,4.69,6.43,4.69,5.32,0
2019-05-31,5.32,5.99,5.24,5.87,0
2019-06-01,5.88,6.4,5.68,5.86,0
2019-06-02,5.86,6.4,5.6,6.08,0
2019-06-03,6.08,7.24,6,7,0
2019-06-04,7,7.03,5.81,5.88,0
2019-06-05,5.88,6.28,5.64,6.2,0
2019-06-06,6.2,6.2,5.67,5.98,0
2019-06-07,5.98,6.55,5.89,6.25,0
2019-06-08,6.25,6.32,5.96,6.15,0
2019-06-09,6.15,6.21,5.74,5.82,0
2019-06-10,5.82,6.09,5.71,6.013,0
