Date,Open,High,Low,Close,Volume
2019-05-31,4.38,6.43,3.42,5.87,0
2019-06-30,5.88,7.24,4.901,5.627,0
2019-07-31,5.619,5.795,3.466,3.636,0
2019-08-31,3.636,3.909,1.987,2.046,0
2019-09-30,2.05,3.562,1.909,2.499,0
2019-10-31,2.5,3.345,2.413,3.225,0
2019-11-30,3.225,4.356,2.622,3.903,0
2019-12-31,3.903,4.747,3.433,4.207,0
2020-01-31,4.192,5.3,3.954,4.388,0
2020-02-29,4.393,5.32,3.349,3.526,0
2020-03-31,3.524,3.931,1.115,1.97,0
2020-04-30,1.97,3.085,1.882,2.792,0
2020-05-31,2.791,2.931,2.28,2.773,0
2020-06-30,2.773,3.22,2.293,2.595,0
2020-07-31,2.595,4.503,2.577,3.777,0
2020-08-31,3.777,8.858,3.468,7.293,0
2020-09-30,7.293,7.638,3.803,5.3,0
2020-10-31,5.3,6.264,4.353,4.645,0
2020-11-30,4.646,6.482,4.217,5.54,0
2020-12-31,5.539,6.299,4.227,6.162,0
2021-01-31,6.167,10.18,5.01,8.019,0
2021-02-28,8.016,26.47,7.849,17.83,0
2021-03-31,17.83,24.49,16.51,19.32,0
2021-04-30,19.33,28.36,16.7,22.53,0
2021-05-31,22.53,31.89,8.569,13.57,0
2021-06-30,13.58,17.21,7.877,11.95,0
2021-07-31,11.94,14.79,8.968,12.76,0
2021-08-31,12.76,26.2,11.8,22.65,0
2021-09-30,22.64,44.71,17.89,35.78,0
2021-10-31,35.75,43.44,29.94,37.4,0
2021-11-30,37.42,39.2,24.9,27.949,0
2021-12-31,27.976,35.961,20.2101,32.89329,67002470.886693
2022-01-31,32.86329,44.67106,25.53021,28.11405,545208209.86593
2022-02-28,28.12405,33.21987,21.60079,30.20208,219900673.16958
2022-03-31,30.23209,34.70041,25.76515,28.85577,158797771.54475
2022-04-30,28.84865,33.29331,18.21182,18.47185,111247972.90413
2022-05-31,18.46,20.32593,8.16398,10.18185,212431119.981
2022-06-30,10.18215,10.4916,5.54179,7.12824,324944892.87727
2022-07-31,7.12744,11.46601,7.10057,10.63545,1078473626.747
2022-08-31,10.64619,13.40534,9.65422,12.07088,1062598501.4083
2022-09-30,12.07088,16.96,11.48343,12.788,773005793.19664
2022-10-31,12.788,14.49813,10.56489,14.40314,443528808.68579
2022-11-30,14.39414,15.80716,8.71665,10.47642,344400279.18222
2022-12-31,10.47631,10.57106,8.44469,9.28036,151949356.39942
2023-01-31,9.27927,13.99198,9.26027,13.43821,195033135.81054
2023-02-28,13.43607,15.45032,12.1648,12.30234,140617240.58118
2023-03-31,12.29634,13.52986,10.30918,11.16323,158531234.97685
2023-04-30,11.16323,12.94776,10.25405,11.61962,134128272.85808
2023-05-31,11.62362,11.64289,10.1902,10.47568,90718045.836546
2023-06-30,10.47657,10.85093,7.21944,9.24785,88299352.922886
2023-07-31,9.24586,10.29553,8.75034,8.8465,83213567.079411
2023-08-31,8.8465,9.02111,6.82611,6.89817,108783285.18527
2023-09-30,6.8961,7.58544,6.28424,7.25245,75264735.975853
2023-10-31,7.25445,8.23904,6.15954,7.90332,104334543.64098
2023-11-30,7.90732,10.56217,7.52018,9.28048,153832721.88506
2023-12-31,9.28058,12.57763,9.18174,10.54536,187104075.31298
2024-01-31,10.54536,11.43025,8.69326,9.1099,156153226.00805
2024-02-29,9.1089,12.23532,8.84258,11.12156,127249782.60487
2024-03-31,11.14757,14.50711,10.63153,12.17846,158288948.30463
2024-04-30,12.17446,12.3941,7.26189,8.06242,183375269.28988
2024-05-31,8.0635,9.509,7.98648,8.47476,70163362.493336
