Date,Open,High,Low,Close,Volume
2019-05-05,4.38,5.52,4.17,4.9,0
2019-05-12,4.9,5.24,3.42,4.03,0
2019-05-19,4.03,5.17,3.79,4.92,0
2019-05-26,4.92,4.99,4.12,4.52,0
2019-06-02,4.52,6.43,4.49,6.08,0
2019-06-09,6.08,7.24,5.64,5.82,0
2019-06-16,5.82,6.496,5.71,6.478,0
2019-06-23,6.478,7.093,6.337,6.885,0
2019-06-30,6.885,6.923,4.901,5.627,0
2019-07-07,5.619,5.795,5.084,5.438,0
2019-07-14,5.439,5.508,3.848,3.984,0
2019-07-21,3.988,4.439,3.561,4.175,0
2019-07-28,4.151,4.344,3.554,3.563,0
2019-08-04,3.563,3.909,3.439,3.625,0
2019-08-11,3.625,3.868,3.092,3.464,0
2019-08-18,3.471,3.732,2.709,2.949,0
2019-08-25,2.949,3,2.58,2.615,0
2019-09-01,2.615,2.721,1.964,2.169,0
2019-09-08,2.169,2.683,1.909,2.579,0
2019-09-15,2.579,3.538,2.407,3.454,0
2019-09-22,3.454,3.562,2.696,2.862,0
2019-09-29,2.862,2.908,2.006,2.184,0
2019-10-06,2.185,2.809,2.179,2.665,0
2019-10-13,2.668,3.062,2.553,2.898,0
2019-10-20,3.047,3.154,2.692,2.908,0
2019-10-27,2.907,3.301,2.542,3.198,0
2019-11-03,3.198,3.502,2.96,3.376,0
2019-11-10,3.376,4.252,3.336,4.18,0
2019-11-17,4.18,4.356,3.783,3.904,0
2019-11-24,3.905,3.911,2.622,3.243,0
2019-12-01,3.242,4.114,3.01,3.822,0
2019-12-08,3.825,4,3.433,3.934,0
2019-12-15,3.934,4.587,3.523,4.523,0
2019-12-22,4.523,4.523,3.563,4.207,0
2019-12-29,4.212,4.747,4.123,4.21,0
2020-01-05,4.21,4.474,4,4.202,0
2020-01-12,4.202,4.429,3.954,4.252,0
2020-01-19,4.253,5.3,4.109,4.496,0
2020-01-26,4.496,4.747,4.344,4.481,0
2020-02-02,4.481,4.654,4.254,4.462,0
2020-02-09,4.452,4.918,4.016,4.725,0
2020-02-16,4.725,5.32,4.017,4.395,0
2020-02-23,4.395,5.136,3.912,4.827,0
2020-03-01,4.826,4.955,3.25,3.373,0
2020-03-08,3.373,3.931,3.068,3.124,0
2020-03-15,3.124,3.197,1.115,1.929,0
2020-03-22,1.929,2.481,1.501,1.952,0
2020-03-29,1.952,2.338,1.856,1.867,0
2020-04-05,1.867,2.111,1.843,2.055,0
2020-04-12,2.055,2.64,2.055,2.372,0
2020-04-19,2.372,2.551,2.182,2.436,0
2020-04-26,2.436,2.97,2.257,2.794,0
2020-05-03,2.794,3.085,2.653,2.782,0
2020-05-10,2.782,2.873,2.36,2.507,0
2020-05-17,2.507,2.628,2.28,2.576,0
2020-05-24,2.576,2.728,2.447,2.588,0
2020-05-31,2.588,2.887,2.464,2.773,0
2020-06-07,2.773,3.22,2.657,3.002,0
2020-06-14,3.002,3.184,2.734,2.765,0
2020-06-21,2.765,2.769,2.538,2.617,0
2020-06-28,2.617,2.873,2.293,2.5,0
2020-07-05,2.5,2.99,2.471,2.882,0
2020-07-12,2.878,4.466,2.865,3.931,0
2020-07-19,3.932,4.503,3.753,4.183,0
2020-07-26,4.184,4.256,3.739,3.847,0
2020-08-02,3.847,4.236,3.314,3.857,0
2020-08-09,3.854,5.483,3.797,5.301,0
2020-08-16,5.311,6.585,4.704,6.267,0
2020-08-23,6.272,8.48,5.304,8.147,0
2020-08-30,8.15,8.858,6.9,7.569,0
2020-09-06,7.569,7.806,4.476,5.266,0
2020-09-13,5.27,5.86,4.595,5.19,0
2020-09-20,5.18,5.539,4.587,4.633,0
2020-09-27,4.63,4.815,3.803,4.674,0
2020-10-04,4.674,5.593,4.65,5.232,0
2020-10-11,5.232,6.264,4.567,5.994,0
2020-10-18,6.002,6.25,5.294,5.7,0
2020-10-25,5.7,5.785,5.002,5.295,0
2020-11-01,5.295,5.367,4.353,4.751,0
2020-11-08,4.751,5.163,4.217,4.806,0
2020-11-15,4.813,5.313,4.678,4.974,0
2020-11-22,4.974,5.963,4.938,5.584,0
2020-11-29,5.543,6.482,5.036,5.377,0
2020-12-06,5.381,5.707,4.981,5.157,0
2020-12-13,5.156,5.368,4.487,5.16,0
2020-12-20,5.16,5.722,4.918,5.023,0
2020-12-27,5.016,5.152,4.227,4.855,0
2021-01-03,4.858,6.513,4.8,5.884,0
2021-01-10,5.842,7.161,5.283,6.311,0
2021-01-17,6.319,9.586,5.01,8.561,0
2021-01-24,8.567,10.18,6.606,8.221,0
2021-01-31,8.22,8.889,6.779,8.019,0
2021-02-07,8.016,14,7.849,13.24,0
2021-02-14,13.25,22.22,13.25,19.41,0
2021-02-21,19.41,26.47,14.84,21.36,0
2021-02-28,21.36,23.78,15.27,17.83,0
2021-03-07,17.83,22.04,17.55,19.19,0
2021-03-14,19.2,21.28,17.78,18.99,0
2021-03-21,18.99,24.49,17.94,20.68,0
2021-03-28,20.68,21.17,16.51,19.12,0
2021-04-04,19.12,22.55,18.25,21.61,0
2021-04-11,21.61,23.17,18.77,21.91,0
2021-04-18,21.91,28.36,18.17,21.21,0
2021-04-25,21.22,22.25,16.7,18.01,0
2021-05-02,18.05,24.46,18.05,23.14,0
2021-05-09,23.12,31.89,20.73,27.56,0
2021-05-16,27.58,29.86,21.87,23.71,0
2021-05-23,23.71,24.36,8.569,11.79,0
2021-05-30,11.79,15.64,11.08,12.93,0
2021-06-06,12.89,17.21,11.9,15.05,0
2021-06-13,15.06,15.78,10.94,12.43,0
2021-06-20,12.44,14.61,11.06,12.24,0
2021-06-27,12.24,12.3,7.877,9.602,0
2021-07-04,9.601,12.86,9.594,12.34,0
2021-07-11,12.36,14.79,11.45,14.37,0
2021-07-18,14.37,14.43,10.67,11.15,0
2021-07-25,11.15,11.77,8.968,11.36,0
2021-08-01,11.35,13.44,11.04,12.89,0
2021-08-08,12.89,14.36,11.8,13.3,0
2021-08-15,13.3,15.91,12.67,15.63,0
2021-08-22,15.64,24.6,15.05,21.42,0
2021-08-29,21.42,23.12,17.29,21.43,0
2021-09-05,21.43,26.2,19.56,25.48,0
2021-09-12,25.48,33.93,17.89,32.95,0
2021-09-19,32.96,44.05,30.36,42.71,0
2021-09-26,42.76,44.71,28.92,39.93,0
2021-10-03,39.93,41.58,32.72,38.52,0
2021-10-10,38.51,39.05,32.24,32.71,0
2021-10-17,32.7,35.66,29.94,31.95,0
2021-10-24,31.98,37.15,31.09,34.29,0
2021-10-31,34.27,43.44,34.14,37.4,0
2021-11-07,37.42,39.2,34.34,35.59,0
2021-11-14,35.59,37.94,28.71,31.56,0
2021-11-21,31.55,33.65,25.47,31.46,0
2021-11-28,31.47,33.76,24.9,27.039,0
2021-12-05,27.062,35.961,23.685,24.552,0
