Date,Open,High,Low,Close,Volume
2017-12-27,0.915159,1,0.886178,0.969767,0
2017-12-28,0.968816,1.05,0.917622,0.990096,0
2017-12-29,0.992185,1.01,0.952251,0.998248,0
2017-12-30,0.999102,0.999645,0.922517,0.990408,0
2017-12-31,0.986929,1,0.958197,0.996542,0
2018-01-01,0.998458,1.02,0.982746,0.9901,0
2018-01-02,0.991888,1.05,0.980747,0.987869,0
2018-01-03,0.989061,1.01,0.982826,0.99305,0
2018-01-04,0.997557,1.02,0.972775,1.01,0
2018-01-05,1.01,1.02,0.954866,0.992699,0
2018-01-06,0.997491,1.01,0.987975,1,0
2018-01-07,1,1.03,0.945163,0.990644,0
2018-01-08,0.998917,1.03,0.959237,0.997669,0
2018-01-09,0.99366,1.01,0.95361,0.998594,0
2018-01-10,0.999151,1.04,0.743216,0.934961,0
2018-01-11,0.778917,1.03,0.720637,1,0
2018-01-12,1.01,1.06,0.964405,0.99674,0
2018-01-13,0.996631,1.04,0.988338,1.02,0
2018-01-14,1.02,1.04,0.987981,0.997733,0
2018-01-15,0.998339,1.01,0.990487,0.996509,0
2018-01-16,0.997144,1.04,0.924228,0.99547,0
2018-01-17,0.975613,1.03,0.945498,0.992339,0
2018-01-18,0.998447,1.01,0.975833,1,0
2018-01-19,0.996044,1.01,0.979406,1,0
2018-01-20,1,1.02,0.995654,0.998643,0
2018-01-21,1,1.01,0.98267,1,0
2018-01-22,1,1,1,1,0
2020-04-07,1.015,1.024,1.009,1.021,0
2020-04-08,1.021,1.041,1.019,1.029,0
2020-04-09,1.03,1.032,1.013,1.025,0
2020-04-10,1.025,1.031,1.007,1.02,0
2020-04-11,1.02,1.03,1.013,1.027,0
2020-04-12,1.027,1.027,1.014,1.021,0
2020-04-13,1.021,1.031,0.9999,1.019,0
2020-04-14,1.019,1.024,1.012,1.016,0
2020-04-15,1.017,1.024,1.01,1.017,0
2020-04-16,1.017,1.046,1.006,1.024,0
2020-04-17,1.025,1.026,1.01,1.016,0
2020-04-18,1.015,1.04,1.009,1.022,0
2020-04-19,1.022,1.025,1.004,1.015,0
2020-04-20,1.015,1.028,1.008,1.015,0
2020-04-21,1.015,1.024,1.009,1.013,0
2020-04-22,1.013,1.021,1.009,1.015,0
2020-04-23,1.015,1.034,1.008,1.017,0
2020-04-24,1.018,1.024,1.008,1.019,0
2020-04-25,1.018,1.029,1.007,1.018,0
2020-04-26,1.017,1.024,1.007,1.01,0
2020-04-27,1.01,1.023,1.004,1.019,0
2020-04-28,1.018,1.024,1.01,1.017,0
2020-04-29,1.017,1.032,1.008,1.013,0
2020-04-30,1.013,1.021,1.003,1.016,0
2020-05-01,1.016,1.025,1.006,1.015,0
2020-05-02,1.015,1.017,1.008,1.013,0
2020-05-03,1.013,1.021,1.007,1.007,0
2020-05-04,1.007,1.016,1.005,1.009,0
2020-05-05,1.009,1.009,1.004,1.005,0
2020-05-06,1.005,1.013,1.003,1.004,0
2020-05-07,1.005,1.009,0.9998,1.003,0
2020-05-08,1.004,1.009,1.001,1.004,0
2020-05-09,1.005,1.009,1.002,1.006,0
2020-05-10,1.009,1.028,1.002,1.003,0
2020-05-11,1.003,1.01,1.002,1.009,0
2020-05-12,1.009,1.01,1.004,1.005,0
2020-05-13,1.005,1.009,1.003,1.007,0
2020-05-14,1.007,1.01,1.003,1.005,0
2020-05-15,1.005,1.01,1.003,1.007,0
