Date,Open,High,Low,Close,Volume
2017-12-31,0.915159,1.05,0.886178,0.996542,0
2018-01-07,0.998458,1.05,0.945163,0.990644,0
2018-01-14,0.998917,1.06,0.720637,0.997733,0
2018-01-21,0.998339,1.04,0.924228,1,0
2018-01-28,1,1,1,1,0
2020-04-12,1.015,1.041,1.007,1.021,0
2020-04-19,1.021,1.046,0.9999,1.015,0
2020-04-26,1.015,1.034,1.007,1.01,0
2020-05-03,1.01,1.032,1.003,1.007,0
2020-05-10,1.007,1.028,0.9998,1.003,0
2020-05-17,1.003,1.01,1.002,1.008,0
2020-05-24,1.008,1.009,0.999,1.004,0
2020-05-31,1.004,1.009,0.9988,1.002,0
2020-06-07,1.003,1.023,0.9672,1.002,0
2020-06-14,1.002,1.033,0.9991,1.033,0
2020-06-21,1.033,1.033,1.003,1.006,0
2020-06-28,1.006,1.015,1.001,1.004,0
2020-07-05,1.004,1.027,1.003,1.012,0
2020-07-12,1.012,1.024,1.011,1.02,0
2020-07-19,1.02,1.026,1.008,1.01,0
2020-07-26,1.01,1.039,1.004,1.011,0
2020-08-02,1.011,1.039,1.008,1.021,0
2020-08-09,1.021,1.029,1.012,1.017,0
2020-08-16,1.017,1.026,1.005,1.009,0
2020-08-23,1.008,1.021,1,1.005,0
2020-08-30,1.005,1.025,1.005,1.015,0
2020-09-06,1.015,1.048,1.005,1.019,0
2020-09-13,1.019,1.037,1.015,1.022,0
2020-09-20,1.022,1.046,1.009,1.011,0
2020-09-27,1.011,1.016,1.006,1.01,0
2020-10-04,1.01,1.021,1.007,1.01,0
2020-10-11,1.01,1.013,1.008,1.01,0
2020-10-18,1.01,1.013,1.008,1.009,0
2020-10-25,1.009,1.011,1.005,1.006,0
2020-11-01,1.006,1.012,1.005,1.011,0
2020-11-08,1.011,1.036,1.007,1.009,0
2020-11-15,1.009,1.011,1.005,1.008,0
2020-11-22,1.008,1.008,1,1.004,0
2020-11-29,1.003,1.317,0.9938,1.004,0
2020-12-06,1.004,1.01,1.001,1.005,0
2020-12-13,1.005,1.008,1.001,1.003,0
2020-12-20,1.003,1.004,1.001,1.002,0
2020-12-27,1.001,1.006,0.999,1.002,0
2021-01-03,1.002,1.009,0.9985,1.003,0
2021-01-10,1.003,1.041,0.9986,0.9999,0
2021-01-17,0.9999,1.045,0.998,1.001,0
2021-01-24,1.001,1.005,0.9985,1.001,0
2021-01-31,1.001,1.004,0.9982,1,0
2021-02-07,0.9999,1.005,0.9997,1.001,0
2021-02-14,1.001,1.004,0.9992,1.002,0
2021-02-21,1.002,1.148,0.9993,1,0
2021-02-28,1,1.086,0.9985,1.003,0
2021-03-07,1.003,1.004,0.9993,1,0
2021-03-14,1,1.003,0.9997,1.002,0
2021-03-21,1.002,1.004,1,1.001,0
2021-03-28,1.001,1.003,1,1.001,0
2021-04-04,1.001,1.002,0.999,1.001,0
2021-04-11,1.001,1.004,0.9986,1,0
2021-04-18,1,1.008,0.9937,1.001,0
2021-04-25,1.001,1.003,0.9975,1.001,0
2021-05-02,1.001,1.003,1,1.002,0
2021-05-09,1.002,1.004,0.9976,1.001,0
2021-05-16,1.001,1.014,0.9927,1.001,0
2021-05-23,1.001,1.024,0.9972,1.001,0
2021-05-30,1.001,1.064,0.9842,1.001,0
2021-06-06,1.001,1.002,0.9986,1.001,0
2021-06-13,1.001,1.006,0.9983,1.001,0
2021-06-20,1.001,1.004,0.9976,1.001,0
2021-06-27,1.001,1.004,0.9988,1.001,0
2021-07-04,1.001,1.003,0.9981,1.001,0
2021-07-11,1.001,1.002,1,1.001,0
2021-07-18,1.001,1.002,0.9997,1.001,0
2021-07-25,1.001,1.002,1,1.001,0
2021-08-01,1.001,1.002,1,1.001,0
2021-08-08,1.001,1.002,0.9996,1.001,0
2021-08-15,1.001,1.003,0.9997,1.001,0
2021-08-22,1.001,1.001,0.9998,1.001,0
2021-08-29,1.001,1.004,1,1.001,0
2021-09-05,1.001,1.002,0.9994,1,0
2021-09-12,1,1.002,0.9979,1,0
2021-09-19,1,1.002,0.9995,1,0
2021-09-26,1,1.002,0.9991,1,0
2021-10-03,1,1.002,0.9997,1.001,0
2021-10-10,1.001,1.001,0.999,1.001,0
2021-10-17,1.001,1.001,0.9961,0.9999,0
2021-10-24,0.9999,1.002,0.9978,1,0
2021-10-31,1,1.008,0.997,1,0
2021-11-07,0.9999,1.003,0.999,1,0
2021-11-14,1,1.002,0.9992,1,0
2021-11-21,1,1.002,0.9968,1,0
2021-11-28,1,1.001144,0.9986,1.000131,0
2021-12-05,1.000126,1.0013,0.9995,1.000065,0
2021-12-12,1.0001,1.000367,0.99744,0.999921,0
2021-12-19,0.999922,1.0024,0.99786,1,0
2021-12-26,1,1.00063,0.9988,0.99992,1850958
2022-01-02,0.99992,1.0252,0.999345,0.99996,23264269.863703
2022-01-09,0.99996,1.0045,0.99767,1,26402306.532222
2022-01-16,1,1.0047,0.99955,1.00027,20544494.411963
2022-01-23,1.00027,1.0022,0.99921,1.00016,20260629.66015
2022-01-30,1.00016,1.00081,0.99928,0.99994,20483046.393465
2022-02-06,0.99994,1.00021,0.99937,0.99995,14699344.778592
2022-02-13,0.99995,1.000999,0.999142,0.999864,17597113.984009
2022-02-20,0.999929,1.00036,0.999548,0.99995,10679610.205458
2022-02-27,0.99994,1.01055,0.99916,0.99979,16983938.257187
2022-03-06,0.99982,1.000348,0.9994,0.999896,18519860.818902
2022-03-13,0.999896,1.010201,0.999686,1.005101,22969185.412274
2022-03-20,1.000109,1.000791,0.998409,0.99994,23980125.479589
2022-03-27,0.99992,1.000241,0.999248,0.999847,13479974.184509
2022-04-03,0.999845,1.001,0.998,1.00003,28807231.850231
2022-04-10,1.00002,1.004901,0.9994,0.999822,15415896.865666
2022-04-17,0.999823,1.0002,0.998695,0.99979,14203851.137232
2022-04-24,0.999791,1.00055,0.996,0.9993,18401256.404521
2022-05-01,0.9993,1.005401,0.9993,0.999887,14195743.116632
2022-05-08,0.999869,1.003,0.999,0.999,14522827.908661
2022-05-15,0.999,1.08207,0.99281,0.9996,49173448.691695
2022-05-22,1,1.01328,0.999,1,14323020.639803
2022-05-29,1,1.0004,0.9984,0.9997,12049883.339662
2022-06-05,1.005672,1.010368,0.991019,0.9991,5805738.5541056
2022-06-12,0.9991,1.000549,0.998111,0.9999,28160751.755198
2022-06-19,1,1.0029,0.997022,0.9993,426679077.11101
2022-06-26,0.9997,1.001497,0.9991,0.99999,139922343.17252
2022-07-03,0.99998,1.001,0.99901,0.9999,218284165.42322
2022-07-10,0.994605,1.010293,0.986813,0.9991,7702995.2235334
2022-07-17,0.9991,1.00267,0.997102,0.99814,94924239.598218
2022-07-24,0.99814,1.00264,0.9972,1.00119,131268735.77121
2022-07-31,1.00099,1.002601,0.99691,1.00123,135428404.14195
2022-08-07,1.0013,1.002451,0.99694,1.00039,147204105.95734
2022-08-14,1.00089,1.002661,0.99715,0.998509,296393361.54514
2022-08-21,0.998509,1.00211,0.9968,1.00068,143153438.59031
2022-08-28,1.00148,1.0023,0.99703,0.99979,139016393.02353
2022-09-04,0.9998,1.00089,0.99694,0.9986,142771719.31464
2022-09-11,0.9976,1,0.99707,0.99834,170575711.73274
2022-09-18,0.99804,1.0019,0.99676,0.9989,262544661.59665
2022-09-25,0.9998,1.0023,0.9965,1.00039,189513100.56565
2022-10-02,0.99971,1.0024,0.99738,0.9978,178094743.29664
2022-10-09,0.9978,1.00262,0.9972,1.0008,137244639.71597
2022-10-16,1.0007,1.00236,0.99713,1.00124,133165379.84617
2022-10-23,1.00085,1.00194,0.99703,0.99874,130561940.70788
2022-10-30,0.99922,1.002201,0.997269,1.0002,145802024.29325
2022-11-04,1.00001,1.00242,0.99731,0.99983,114232472.03572
2022-11-06,1.00001,1.00242,0.99731,0.99918,136555786.69366
2022-11-13,0.99847,1.20316,0.99085,1.0008,268390603.01443
2022-11-20,1.0018,1.00334,0.99719,1.00109,224293468.09757
2022-11-27,1.00107,1.00279,0.99721,0.99936,237934727.10713
2022-12-04,0.99917,1.0026,0.9966,0.9997,159937537.6754
2022-12-11,0.9996,1.00256,0.99705,0.9981,107714775.08642
2022-12-18,0.9977,1.00138,0.996852,0.99992,100373704.25629
2022-12-25,0.99985,1.00201,0.99695,0.99895,88209473.808445
2023-01-01,0.99958,1.0021,0.9968,1.00033,176048448.81592
2023-01-08,1.00053,1.00208,0.99699,0.99808,78049419.34227
2023-01-15,0.9983,1.0024,0.995844,0.997799,177079768.36661
2023-01-22,0.997499,1.00229,0.99695,1.00179,120761885.46093
2023-01-29,1.0003,1.00224,0.99698,0.99866,129489306.25481
2023-02-05,0.99915,1.00244,0.99713,1.00165,130545589.39446
2023-02-12,1.00135,1.1167,0.99691,1.00018,149502521.88658
