Date,Open,High,Low,Close,Volume
2017-06-30,0.85,1.91,0.6,0.912,0
2017-07-31,0.912,6.9,0.8,1.72,0
2017-08-31,1.72,1.98,1.22,1.34,0
2017-09-30,1.34,1.44,0.5149,0.7274,0
2017-10-31,0.7274,0.7826,0.4776,0.7826,0
2017-11-30,0.7822,3.36,0.7522,2.84,0
2017-12-31,2.84,12.49,2.69,7.69,0
2018-01-31,7.69,18.67,7.2,11.74,0
2018-02-28,11.75,12.14,5.83,8.31,0
2018-03-31,8.3,8.68,3.9,5.94,0
2018-04-30,5.94,23,5.12,17.07,0
2018-05-31,17.1,19.58,10.34,12.46,0
2018-06-30,12.46,15.53,6.92,8.15,0
2018-07-31,8.15,9.44,6.56,7.25,0
2018-08-31,7.25,7.4,4.18,6.42,0
2018-09-30,6.42,6.81,4.63,5.54,0
2018-10-31,5.55,6.07,5.01,5.25,0
2018-11-30,5.25,5.83,2.81,2.88,0
2018-12-31,2.88,3.2,1.55,2.63,0
2019-01-31,2.63,3.05,2.19,2.36,0
2019-02-28,2.36,4.52,2.31,3.58,0
2019-03-31,3.58,4.47,3.18,4.24,0
2019-04-30,4.24,6.06,4.2,4.91,0
2019-05-31,4.91,8.48,4.61,8.24,0
2019-06-30,8.25,8.69,5.572,5.882,0
2019-07-31,5.882,6.149,3.322,4.327,0
2019-08-31,4.327,4.575,3.066,3.379,0
2019-09-30,3.38,4.233,2.503,2.946,0
2019-10-31,2.946,3.563,2.558,3.254,0
2019-11-30,3.254,3.689,2.359,2.772,0
2019-12-31,2.772,2.865,2.161,2.594,0
2020-01-31,2.594,4.393,2.434,4.152,0
2020-02-29,4.152,5.491,3.329,3.553,0
2020-03-31,3.556,3.863,1.424,2.227,0
2020-04-30,2.227,3.113,2.152,2.848,0
2020-05-31,2.847,3.012,2.285,2.716,0
2020-06-30,2.716,2.895,2.226,2.368,0
2020-07-31,2.368,3.153,2.309,3.102,0
2020-08-31,3.102,3.936,2.614,3.207,0
2020-09-30,3.207,3.554,2.395,2.572,0
2020-10-31,2.572,2.968,2.427,2.536,0
2020-11-30,2.536,3.881,2.265,3.257,0
2020-12-31,3.257,3.336,1.963,2.595,0
2021-01-31,2.595,3.922,2.388,2.912,0
2021-02-28,2.91,5.604,2.894,3.493,0
2021-03-31,3.493,4.85,3.456,4.751,0
2021-04-30,4.75,8.829,4.555,6.379,0
2021-05-31,6.379,14.88,3.603,6.336,0
2021-06-30,6.337,6.74,3.055,4.061,0
2021-07-31,4.061,4.411,3.162,4.101,0
2021-08-31,4.101,5.923,3.875,4.992,0
2021-09-30,4.988,6.418,3.639,3.919,0
2021-10-31,3.918,5.084,3.884,4.625,0
2021-11-30,4.622,5.392,3.692,4.041,0
2021-12-31,4.041,4.165,2.438,3.0353,198226322.77456
2022-01-31,3.0353,3.274,1.9944,2.32716,1191871176.1404
2022-02-28,2.32716,2.76921,1.86093,2.2449,789057284.96095
2022-03-31,2.25113,3.16727,1.87137,2.85557,970304374.3029
2022-04-30,2.85586,2.94088,2.105,2.12421,1303790090.3603
2022-05-31,2.122,2.24955,1.06494,1.35891,1169683872.0456
2022-06-30,1.36095,1.40596,0.81421,0.89073,1855247987.9188
2022-07-31,0.889831,1.44942,0.887844,1.36831,1433933056.7405
2022-08-31,1.36841,1.94342,1.15025,1.39099,2512179325.939
2022-09-30,1.39099,1.86878,1.10378,1.179,2015559304.1365
2022-10-31,1.179,1.235,0.94292,1.14592,968899949.25135
2022-11-30,1.14593,1.21804,0.804457,0.950038,910958559.29471
2022-12-31,0.949038,1.066096,0.833017,0.862269,621964025.01535
2023-01-31,0.86206,1.14409,0.855246,1.0631,571119789.73738
2023-02-28,1.06407,1.31117,0.99991,1.15522,822798179.64213
2023-03-31,1.15423,1.34111,0.96437,1.19894,1227194333.3012
2023-04-30,1.19894,1.29827,0.98513,1.02558,521895840.86093
2023-05-31,1.02557,1.03903,0.818884,0.887133,414072582.91102
2023-06-30,0.887142,0.927306,0.599208,0.746746,963038799.85431
2023-07-31,0.747746,0.835184,0.694021,0.744873,778828843.16873
2023-08-31,0.743874,0.755713,0.517995,0.58593,470739357.59893
2023-09-30,0.585924,0.593851,0.526837,0.581516,417708672.59472
2023-10-31,0.58141,0.65265,0.526632,0.636361,388674165.0822
2023-11-30,0.63546,0.757453,0.611777,0.675874,534975662.40334
2023-12-31,0.675021,0.914631,0.673828,0.837391,604353597.02772
2024-01-31,0.836391,0.895458,0.643565,0.690213,497381375.55522
2024-02-29,0.68962,0.895764,0.676164,0.8476,466651543.196
2024-03-31,0.8482,1.36283,0.8482,1.09983,896110074.53012
2024-04-30,1.10013,1.15074,0.654021,0.755209,885206428.58301
2024-05-31,0.755017,0.848883,0.710168,0.799772,238591542.76367
