Date,Open,High,Low,Close,Volume
2017-07-02,0.85,3.88,0.6,3,0
2017-07-09,3,6.9,2.05,2.22,0
2017-07-16,2.22,2.25,1.12,1.22,0
2017-07-23,1.22,2.18,1.2,1.91,0
2017-07-30,1.91,1.99,1.49,1.79,0
2017-08-06,1.79,1.96,1.64,1.76,0
2017-08-13,1.76,1.98,1.51,1.59,0
2017-08-20,1.59,1.72,1.29,1.36,0
2017-08-27,1.36,1.54,1.24,1.34,0
2017-09-03,1.34,1.44,1.19,1.3,0
2017-09-10,1.3,1.3,0.6992,0.745,0
2017-09-17,0.745,0.8944,0.5149,0.6233,0
2017-09-24,0.6233,0.7128,0.5312,0.5454,0
2017-10-01,0.5454,0.8435,0.5245,0.7085,0
2017-10-08,0.7085,0.719,0.5712,0.606,0
2017-10-15,0.606,0.642,0.5248,0.5738,0
2017-10-22,0.574,0.5946,0.4979,0.5192,0
2017-10-29,0.5189,0.6793,0.4776,0.6668,0
2017-11-05,0.6671,1.42,0.6409,1.09,0
2017-11-12,1.09,1.21,0.9015,1.09,0
2017-11-19,1.09,2.06,1.08,1.88,0
2017-11-26,1.88,2.71,1.71,2.46,0
2017-12-03,2.46,4.12,2.35,3.58,0
2017-12-10,3.58,5.12,3.28,3.67,0
2017-12-17,3.67,9.29,3.65,7.97,0
2017-12-24,7.97,12.49,3.14,7.99,0
2017-12-31,7.99,9.41,6.52,7.69,0
2018-01-07,7.69,10.89,7.2,10.16,0
2018-01-14,10.16,18.67,8.14,13.23,0
2018-01-21,13.23,15.75,7.5,13.47,0
2018-01-28,13.47,15.14,11.6,14.55,0
2018-02-04,14.55,14.85,8.38,9.16,0
2018-02-11,9.19,9.88,5.83,8.65,0
2018-02-18,8.65,10.11,8.3,9.25,0
2018-02-25,9.25,9.8,7.5,7.77,0
2018-03-04,7.77,9.12,7.39,7.98,0
2018-03-11,7.99,8.29,5.22,6.08,0
2018-03-18,6.08,6.17,3.9,4.53,0
2018-03-25,4.53,7.26,4.45,6.5,0
2018-04-01,6.5,6.55,5.12,5.57,0
2018-04-08,5.58,6.41,5.42,5.95,0
2018-04-15,5.95,9.52,5.76,8.44,0
2018-04-22,8.44,11.87,7.81,11.57,0
2018-04-29,11.57,23,11.22,20.12,0
2018-05-06,20.12,21.64,15.93,17.22,0
2018-05-13,17.22,18.86,12.11,14.79,0
2018-05-20,14.79,14.94,11.84,14.02,0
2018-05-27,14.02,14.13,10.34,12.4,0
2018-06-03,12.4,15.53,10.73,14.57,0
2018-06-10,14.56,14.97,10.54,11,0
2018-06-17,10.96,11.63,9.1,10.39,0
2018-06-24,10.4,10.91,6.92,8.2,0
2018-07-01,8.2,8.48,7.05,8.11,0
2018-07-08,8.11,9.44,7.92,8.77,0
2018-07-15,8.77,8.83,6.56,7.51,0
2018-07-22,7.51,9.33,7.25,7.74,0
2018-07-29,7.74,8.95,7.71,8.26,0
2018-08-05,8.26,8.45,6.83,7.04,0
2018-08-12,7.04,7.19,4.83,5.06,0
2018-08-19,5.06,5.64,4.18,5.25,0
2018-08-26,5.25,5.35,4.52,4.92,0
2018-09-02,4.92,6.81,4.9,6.53,0
2018-09-09,6.53,6.72,4.63,5.09,0
2018-09-16,5.09,5.55,4.73,5.41,0
2018-09-23,5.41,6.29,4.66,5.97,0
2018-09-30,5.97,6.11,5,5.54,0
2018-10-07,5.55,5.91,5.44,5.76,0
2018-10-14,5.76,6.03,5.01,5.23,0
2018-10-21,5.22,6.07,5.15,5.53,0
2018-10-28,5.53,5.56,5.38,5.43,0
2018-11-04,5.43,5.61,5.06,5.52,0
2018-11-11,5.52,5.83,5.29,5.35,0
2018-11-18,5.35,5.52,4.28,4.6,0
2018-11-25,4.6,4.65,3.07,3.39,0
2018-12-02,3.39,3.46,2.81,2.88,0
2018-12-09,2.88,2.91,1.55,2.04,0
2018-12-16,2.04,2.11,1.78,1.95,0
2018-12-23,1.95,3.07,1.93,2.88,0
2018-12-30,2.88,3.2,2.31,2.73,0
2019-01-06,2.73,3.01,2.54,2.94,0
2019-01-13,2.94,3.05,2.25,2.27,0
2019-01-20,2.27,2.59,2.26,2.36,0
2019-01-27,2.36,2.54,2.3,2.4,0
2019-02-03,2.4,2.49,2.19,2.4,0
2019-02-10,2.4,2.87,2.32,2.81,0
2019-02-17,2.81,3.06,2.74,2.9,0
2019-02-24,2.9,4.52,2.9,3.67,0
2019-03-03,3.67,3.79,3.35,3.58,0
2019-03-10,3.58,3.98,3.18,3.8,0
2019-03-17,3.81,3.93,3.49,3.83,0
2019-03-24,3.83,3.87,3.59,3.68,0
2019-03-31,3.68,4.47,3.62,4.24,0
2019-04-07,4.24,5.98,4.2,5.48,0
2019-04-14,5.48,6.06,5.11,5.39,0
2019-04-21,5.39,5.66,5.02,5.2,0
2019-04-28,5.2,5.44,4.52,4.86,0
2019-05-05,4.86,5.4,4.59,5.09,0
2019-05-12,5.09,5.75,4.61,5.4,0
2019-05-19,5.4,6.88,5.31,6.43,0
2019-05-26,6.43,7.03,5.73,6.93,0
2019-06-02,6.93,8.69,6.85,7.7,0
2019-06-09,7.7,7.77,5.94,6.09,0
2019-06-16,6.09,7.217,6.04,7.004,0
2019-06-23,7.005,7.631,6.65,7.415,0
2019-06-30,7.413,7.452,5.572,5.882,0
2019-07-07,5.882,6.149,5.56,6.004,0
2019-07-14,6.004,6.032,4.069,4.29,0
2019-07-21,4.29,4.477,3.322,4.279,0
2019-07-28,4.279,4.769,3.946,4.242,0
2019-08-04,4.242,4.444,3.878,4.224,0
2019-08-11,4.227,4.575,3.819,4.2,0
2019-08-18,4.2,4.207,3.33,3.736,0
2019-08-25,3.738,3.788,3.392,3.508,0
2019-09-01,3.508,3.702,3.066,3.255,0
2019-09-08,3.255,3.804,3.117,3.743,0
2019-09-15,3.743,4.158,3.63,4.079,0
2019-09-22,4.079,4.233,3.747,3.818,0
2019-09-29,3.818,3.865,2.503,2.788,0
2019-10-06,2.788,3.116,2.778,2.926,0
2019-10-13,2.926,3.322,2.897,3.134,0
2019-10-20,3.153,3.202,2.724,2.934,0
2019-10-27,2.932,3.563,2.558,3.35,0
2019-11-03,3.353,3.561,3.182,3.286,0
2019-11-10,3.286,3.689,3.25,3.608,0
2019-11-17,3.608,3.608,3.293,3.41,0
2019-11-24,3.41,3.413,2.376,2.504,0
2019-12-01,2.504,2.865,2.359,2.815,0
2019-12-08,2.817,2.819,2.578,2.768,0
2019-12-15,2.768,2.769,2.521,2.585,0
2019-12-22,2.585,2.585,2.161,2.551,0
2019-12-29,2.551,2.725,2.464,2.701,0
2020-01-05,2.701,2.775,2.434,2.685,0
2020-01-12,2.685,3.215,2.66,3.186,0
2020-01-19,3.185,4.062,3.068,3.568,0
2020-01-26,3.575,3.736,3.359,3.639,0
2020-02-02,3.639,4.393,3.636,4.231,0
2020-02-09,4.231,5.038,4.068,4.978,0
2020-02-16,4.979,5.491,4.042,4.342,0
2020-02-23,4.343,4.663,3.661,4.336,0
2020-03-01,4.338,4.414,3.329,3.534,0
2020-03-08,3.534,3.863,3.018,3.088,0
2020-03-15,3.087,3.176,1.424,2.044,0
2020-03-22,2.046,2.525,1.721,2.15,0
2020-03-29,2.155,2.38,2.064,2.123,0
2020-04-05,2.12,2.516,2.11,2.346,0
2020-04-12,2.346,2.828,2.346,2.582,0
2020-04-19,2.582,2.769,2.339,2.654,0
2020-04-26,2.651,2.8,2.442,2.719,0
2020-05-03,2.717,3.113,2.684,2.817,0
2020-05-10,2.817,2.85,2.289,2.453,0
2020-05-17,2.453,2.681,2.285,2.647,0
2020-05-24,2.647,2.739,2.414,2.561,0
2020-05-31,2.561,2.777,2.46,2.716,0
2020-06-07,2.716,2.895,2.621,2.791,0
2020-06-14,2.792,2.823,2.453,2.542,0
2020-06-21,2.542,2.601,2.425,2.526,0
2020-06-28,2.525,2.608,2.226,2.377,0
