Date,Open,High,Low,Close,Volume
2016-07-31,2.2,2.3,1,1.79,0
2016-08-31,1.79,3.64,1.15,1.19,0
2016-09-30,1.19,1.55,1.12,1.26,0
2016-10-31,1.26,1.26,0.83,0.899,0
2016-11-30,0.899,1.07,0.71,0.7447,0
2016-12-31,0.7447,1.65,0.7333,1.45,0
2017-01-31,1.45,1.85,1.1,1.36,0
2017-02-28,1.36,1.51,1.15,1.23,0
2017-03-31,1.23,3.15,1.21,2.83,0
2017-04-30,2.83,6.53,2.45,6.38,0
2017-05-31,6.38,23,5,16.72,0
2017-06-30,16.72,23.8,13.5,17.4,0
2017-07-31,17.4,19.8,12,13.74,0
2017-08-31,13.74,16.91,12.51,16.78,0
2017-09-30,16.78,24.24,8.47,13.23,0
2017-10-31,13.23,13.24,9.61,10.52,0
2017-11-30,10.5,32.79,9.43,26.1,0
2017-12-31,26.1,42.96,18.53,26.05,0
2018-01-31,26.05,46.96,22.12,27.9,0
2018-02-28,27.9,42.82,14.04,33.08,0
2018-03-31,33.08,34.75,13.81,14.33,0
2018-04-30,14.33,22.97,13.02,21.68,0
2018-05-31,21.68,25.7,14.12,15.38,0
2018-06-30,15.38,17.85,12.03,15.88,0
2018-07-31,15.88,18.97,15.55,16.58,0
2018-08-31,16.58,20.98,10.14,12.74,0
2018-09-30,12.74,14.52,10.03,11.27,0
2018-10-31,11.28,11.38,8.78,9.06,0
2018-11-30,9.06,10,4.2,4.57,0
2018-12-31,4.57,5.82,3.28,5.06,0
2019-01-31,5.06,5.66,3.82,3.99,0
2019-02-28,3.99,5.05,3.67,4.32,0
2019-03-31,4.32,5.01,4.05,4.86,0
2019-04-30,4.86,10.5,4.78,5.84,0
2019-05-31,5.84,8.89,5.51,8.5,0
2019-06-30,8.5,9.83,7.162,8.026,0
2019-07-31,8.024,8.451,5.158,6.028,0
2019-08-31,6.028,7.719,5.304,6.402,0
2019-09-30,6.411,7.217,4.44,4.698,0
2019-10-31,4.698,5.232,4.031,4.791,0
2019-11-30,4.791,5.325,3.59,3.977,0
2019-12-31,3.977,4.835,3.392,4.498,0
2020-01-31,4.498,12.87,4.179,11.44,0
2020-02-29,11.45,13.17,7.217,7.445,0
2020-03-31,7.464,8.693,3.488,4.953,0
2020-04-30,4.952,7.042,4.822,6.479,0
2020-05-31,6.473,7.636,5.644,6.913,0
2020-06-30,6.913,7.314,5.361,5.742,0
2020-07-31,5.742,7.581,5.524,7.419,0
2020-08-31,7.419,8.296,6.44,6.651,0
2020-09-30,6.648,7.243,5.053,5.703,0
2020-10-31,5.697,6.186,5.224,5.294,0
2020-11-30,5.294,7.879,4.71,6.722,0
2020-12-31,6.724,6.96,4.888,5.664,0
2021-01-31,5.665,14.05,5.585,7.399,0
2021-02-28,7.398,19.01,7.273,10.39,0
2021-03-31,10.39,14.25,10.2,13.81,0
2021-04-30,13.81,49.31,13.36,36.32,0
2021-05-31,36.34,172.61,35.93,68.19,0
2021-06-30,68.24,72.39,32.41,57.37,0
2021-07-31,57.37,58.84,37.72,51.75,0
2021-08-31,51.75,77.29,47.7,63.4,0
2021-09-30,63.35,77.23,44.06,46.85,0
2021-10-31,46.84,59.87,43.41,54.17,0
2021-11-30,54.16,65.08,44.843,48.798,0
2021-12-31,48.798,49.605,29.396,34.11341,7489847.8386166
2022-01-31,34.12341,35.89718,21.42643,25.51275,56346260.181929
2022-02-28,25.51275,37.55252,23.35167,29.54181,58101208.250409
2022-03-31,29.53181,52.66106,25.005,47.37947,132727131.53857
2022-04-30,47.38421,48.63945,27.78,28.0128,78988772.825517
2022-05-31,27.97,33.0001,15.35922,23.62109,71988283.28359
2022-06-30,23.64107,24.20159,12.46153,14.38272,77551390.898214
2022-07-31,14.37273,45.30317,13.3853,38.86894,274342698.85318
2022-08-31,38.83165,45.72102,30.37521,32.90597,285151160.98128
2022-09-30,32.91967,42.34,26.64733,27.59,221453449.10345
2022-10-31,27.57,28.95608,20.58918,24.25854,82618980.199258
2022-11-30,24.27854,27.22109,17.13216,20.28081,84546171.58628
2022-12-31,20.27081,20.39204,14.72015,15.66746,25644026.950121
2023-01-31,15.66816,23.88191,15.47195,21.70195,67058882.379586
2023-02-28,21.72174,24.9415,20.0108,20.82196,44582246.851354
2023-03-31,20.79766,22.60108,16.16391,20.71414,43932922.958775
2023-04-30,20.73435,23.13357,18.53241,19.4911,29355843.420912
2023-05-31,19.51092,19.78554,17.42948,17.93287,13467249.574137
2023-06-30,17.93269,21.01664,12.67253,20.41306,72914882.686908
2023-07-31,20.40286,23.29627,17.78482,18.47686,48600402.002573
2023-08-31,18.46686,18.5907,13.49892,15.388,16134831.582708
2023-09-30,15.398,16.85469,14.43038,16.41328,9471941.1062473
2023-10-31,16.41928,17.7764,14.62092,17.27225,18777598.468307
2023-11-30,17.27308,21.81768,16.74946,18.58267,44479737.303905
2023-12-31,18.58596,24.36023,17.87379,21.73127,45164481.513296
2024-01-31,21.72937,32.45968,18.35991,24.48628,51450822.7145
2024-02-29,24.47629,31.50984,23.51834,28.58686,27462754.828995
2024-03-31,28.58686,39.72353,26.80678,34.32412,46473590.117112
2024-04-30,34.34412,35.9121,22.72156,25.28683,56531361.022595
2024-05-31,25.2771,29.36031,23.95194,27.15244,17131232.12042
