Date,Open,High,Low,Close,Volume
2016-07-31,2.2,2.3,1,1.79,0
2016-08-07,1.79,3.64,1.7,2.1,0
2016-08-14,2.1,2.4,1.56,1.92,0
2016-08-21,1.92,2,1.61,1.71,0
2016-08-28,1.71,1.79,1.26,1.36,0
2016-09-04,1.36,1.49,1.15,1.44,0
2016-09-11,1.44,1.55,1.33,1.34,0
2016-09-18,1.34,1.55,1.26,1.33,0
2016-09-25,1.33,1.34,1.12,1.21,0
2016-10-02,1.21,1.3,1.16,1.2,0
2016-10-09,1.2,1.24,1.15,1.17,0
2016-10-16,1.17,1.23,0.9557,1.16,0
2016-10-23,1.16,1.21,1,1.05,0
2016-10-30,1.05,1.06,0.87,0.924,0
2016-11-06,0.924,1.07,0.83,0.986,0
2016-11-13,0.986,1.01,0.9,0.9049,0
2016-11-20,0.9049,0.9333,0.8528,0.853,0
2016-11-27,0.853,0.8647,0.7286,0.7738,0
2016-12-04,0.7738,0.8121,0.71,0.7577,0
2016-12-11,0.7577,0.9572,0.7378,0.9328,0
2016-12-18,0.9328,1.1,0.8911,1.05,0
2016-12-25,1.05,1.21,1.02,1.06,0
2017-01-01,1.06,1.65,1.03,1.4,0
2017-01-08,1.4,1.85,1.26,1.44,0
2017-01-15,1.44,1.47,1.14,1.2,0
2017-01-22,1.2,1.47,1.15,1.37,0
2017-01-29,1.37,1.4,1.1,1.29,0
2017-02-05,1.29,1.39,1.29,1.37,0
2017-02-12,1.37,1.51,1.2,1.22,0
2017-02-19,1.22,1.28,1.15,1.22,0
2017-02-26,1.22,1.39,1.18,1.24,0
2017-03-05,1.24,1.46,1.21,1.37,0
2017-03-12,1.37,1.44,1.21,1.41,0
2017-03-19,1.41,2.17,1.35,1.94,0
2017-03-26,1.94,2.46,1.82,2.28,0
2017-04-02,2.28,3.15,1.85,2.69,0
2017-04-09,2.69,2.83,2.45,2.66,0
2017-04-16,2.66,2.71,2.52,2.59,0
2017-04-23,2.59,3.52,2.56,3.5,0
2017-04-30,3.5,6.53,3.5,6.38,0
2017-05-07,6.38,7.63,5.17,6.54,0
2017-05-14,6.54,6.87,5,6.61,0
2017-05-21,6.61,7.96,5.53,7.96,0
2017-05-28,7.96,23,7.67,15.7,0
2017-06-04,15.7,17.78,14.5,17.28,0
2017-06-11,17.28,22.27,16.4,21.58,0
2017-06-18,21.58,23.8,13.5,20.27,0
2017-06-25,20.27,22.4,17.45,18.42,0
2017-07-02,18.42,19.75,14.79,17.44,0
2017-07-09,17.44,18.16,14.5,15.56,0
2017-07-16,15.56,19.8,12,13.92,0
2017-07-23,13.92,17.61,13.67,16.09,0
2017-07-30,16.09,16.37,13.27,13.85,0
2017-08-06,13.85,16.11,13.32,15.57,0
2017-08-13,15.57,16.46,13.78,14.12,0
2017-08-20,14.12,14.52,12.51,13.76,0
2017-08-27,13.76,16.65,13.37,16.01,0
2017-09-03,16.01,24.24,15.52,19.18,0
2017-09-10,19.18,19.39,14.27,15.23,0
2017-09-17,15.23,16.19,8.47,11.03,0
2017-09-24,11.03,12.25,9.8,10.41,0
2017-10-01,10.41,13.95,10.39,12.92,0
2017-10-08,12.92,12.98,11.51,12.11,0
2017-10-15,12.11,12.5,10.94,11.96,0
2017-10-22,11.96,12.49,10.5,10.67,0
2017-10-29,10.66,11.09,9.61,10.83,0
2017-11-05,10.83,14.22,9.43,13.1,0
2017-11-12,13.1,21.35,12.94,14.67,0
2017-11-19,14.67,18.42,14.11,17.97,0
2017-11-26,17.97,22.62,17.07,21.64,0
2017-12-03,21.65,32.79,20.89,28.93,0
2017-12-10,28.93,31.19,22.13,25.27,0
2017-12-17,25.27,37.57,25.23,34.02,0
2017-12-24,34.02,42.96,18.53,27.47,0
2017-12-31,27.47,30.74,22.77,26.05,0
2018-01-07,26.05,37.08,25.24,35.45,0
2018-01-14,35.46,46.96,28.4,42.55,0
2018-01-21,42.55,43.68,22.12,30.36,0
2018-01-28,30.36,33.82,26.19,32.87,0
2018-02-04,32.88,33.17,18.61,21.38,0
2018-02-11,21.38,26.22,14.04,24.98,0
2018-02-18,25.02,35.84,23.67,34.19,0
2018-02-25,34.18,42.82,30.22,35.68,0
2018-03-04,35.7,37.14,28.35,29.02,0
2018-03-11,29.03,30.19,19.65,21.45,0
2018-03-18,21.44,21.72,14.37,16.57,0
2018-03-25,16.57,21.4,16.22,18.32,0
2018-04-01,18.32,18.38,13.08,13.65,0
2018-04-08,13.65,15.21,13.02,14.14,0
2018-04-15,14.14,16.94,13.28,16.7,0
2018-04-22,16.7,19.99,15.62,19.13,0
2018-04-29,19.13,22.85,18.1,21.71,0
2018-05-06,21.71,25.46,20.43,24.4,0
2018-05-13,24.4,25.7,16.37,18.74,0
2018-05-20,18.74,19.88,16.57,18.23,0
2018-05-27,18.23,18.27,14.27,15.06,0
2018-06-03,15.06,16.44,14.12,16.15,0
2018-06-10,16.15,16.36,12.03,12.21,0
2018-06-17,12.21,16.27,12.09,14.3,0
2018-06-24,14.3,17.85,13.16,14.9,0
2018-07-01,14.9,16.87,14.17,15.96,0
2018-07-08,15.96,18.97,15.63,18.59,0
2018-07-15,18.59,18.72,15.71,16.85,0
2018-07-22,16.83,18.38,15.74,16.09,0
2018-07-29,16.09,17.44,15.75,16.83,0
2018-08-05,16.83,17.8,14.13,17.79,0
2018-08-12,17.79,20.98,12.4,13.32,0
2018-08-19,13.32,14.91,10.14,13.36,0
2018-08-26,13.36,13.53,11.91,12.39,0
2018-09-02,12.39,13.39,12.27,13.27,0
2018-09-09,13.27,14.52,10.7,11.38,0
2018-09-16,11.38,11.56,10.07,11.2,0
2018-09-23,11.2,11.86,10.03,11.5,0
2018-09-30,11.5,11.62,10.41,11.27,0
2018-10-07,11.28,11.38,10.68,10.86,0
2018-10-14,10.86,11.04,9,9.51,0
2018-10-21,9.51,10.74,9.28,9.67,0
2018-10-28,9.67,10.29,9.52,9.58,0
2018-11-04,9.58,9.72,8.78,9.45,0
