Date,Open,High,Low,Close,Volume
2015-08-31,3,3,0.5,1.31,0
2015-09-30,1.31,1.4,0.5,0.7137,0
2015-10-31,0.7137,1.34,0.411,0.8676,0
2015-11-30,0.8676,1.08,0.6612,0.88,0
2015-12-31,0.88,1.1,0.761,0.9488,0
2016-01-31,0.9488,2.88,0.9184,2.2,0
2016-02-29,2.2,6.64,2,6.35,0
2016-03-31,6.35,15.18,6.25,11.41,0
2016-04-30,11.41,11.89,7,8.83,0
2016-05-31,8.83,15.01,8.42,13.85,0
2016-06-30,13.85,21.39,9.94,12.4,0
2016-07-31,12.4,15.27,8.98,11.86,0
2016-08-31,11.86,12.67,7.03,11.55,0
2016-09-30,11.55,14.84,11.29,13.24,0
2016-10-31,13.24,13.56,9.42,10.91,0
2016-11-30,10.91,11.21,7.8,8.59,0
2016-12-31,8.59,8.9,5.97,8.05,0
2017-01-31,8.05,11.63,8.02,10.71,0
2017-02-28,10.71,16.75,10.53,16.07,0
2017-03-31,16.07,54.88,15.68,49.91,0
2017-04-30,49.91,81.26,40.99,79.83,0
2017-05-31,79.83,233.92,62.74,228.64,0
2017-06-30,228.64,417.21,138.5,280.68,0
2017-07-31,280.68,293.3,132.64,201.33,0
2017-08-31,201.33,390.64,201.27,388.33,0
2017-09-30,388.33,395.3,200.75,302.77,0
2017-10-31,302.77,352.39,274.96,303.64,0
2017-11-30,303.63,515.44,276.89,434.85,0
2017-12-31,435.31,868.89,404.16,741.13,0
2018-01-31,741.09,1422.86,724.33,1100.96,0
2018-02-28,1100.8,1155.51,564.5,858.47,0
2018-03-31,858.39,880.12,365.06,393.95,0
2018-04-30,393.96,711.51,359.24,670.02,0
2018-05-31,670.02,834.21,501.18,584.11,0
2018-06-30,584.08,628.06,405.01,445.27,0
2018-07-31,445.37,515.11,418.21,431.86,0
2018-08-31,431.82,434.82,250.49,282.68,0
2018-09-30,282.37,302.24,167.67,228.63,0
2018-10-31,228.59,235.35,186.93,198.02,0
2018-11-30,198.02,223.55,100.86,112,0
2018-12-31,112.1,161.14,82.05,133.5,0
2019-01-31,133.5,163.49,101.95,107.31,0
2019-02-28,107.31,167.57,101.26,136.3,0
2019-03-31,136.31,146.77,123.96,141.84,0
2019-04-30,141.84,187.34,140.29,161.47,0
2019-05-31,161.47,288.7,158.89,263.01,0
2019-06-30,262.91,363.18,226.78,299.94,0
2019-07-31,299.82,318.31,191.31,216.07,0
2019-08-31,216.07,239.53,164.25,173.42,0
2019-09-30,173.76,223.65,153.07,177.84,0
2019-10-31,177.91,198.33,154.34,181.63,0
2019-11-30,181.63,194.51,132.48,152.04,0
2019-12-31,152.05,152.78,116.73,128.88,0
2020-01-31,128.79,186.64,126.01,181.81,0
2020-02-29,181.85,288.48,179.21,223.45,0
2020-03-31,223.53,252.66,90.29,134.43,0
2020-04-30,134.43,227.32,129.07,209.18,0
2020-05-31,209.18,246.38,177.71,234.56,0
2020-06-30,234.43,253.19,216.73,226.31,0
2020-07-31,226.22,349.46,223.23,347.73,0
2020-08-31,347.73,446.54,343.42,431.05,0
2020-09-30,431.1,488.52,311.11,357.22,0
2020-10-31,357.22,421.18,333.38,388.64,0
2020-11-30,388.65,622.4,370.87,609.8,0
2020-12-31,609.77,757.79,530.87,740.92,0
2021-01-31,741.6,1475.27,716.78,1312.07,0
