Date,Open,High,Low,Close,Volume
2015-08-09,3,3,1.2,1.2,0
2015-08-16,1.2,2.1,0.5,1.37,0
2015-08-23,1.37,1.59,0.99,1.35,0
2015-08-30,1.35,1.35,1.08,1.32,0
2015-09-06,1.32,1.4,0.9,1.34,0
2015-09-13,1.34,1.34,0.8837,0.8856,0
2015-09-20,0.8856,1,0.8013,0.8871,0
2015-09-27,0.8871,0.95,0.6805,0.7008,0
2015-10-04,0.7008,0.74,0.5,0.6095,0
2015-10-11,0.6095,0.75,0.5701,0.5993,0
2015-10-18,0.5993,0.65,0.4832,0.505,0
2015-10-25,0.505,0.67,0.411,0.62,0
2015-11-01,0.62,1.34,0.62,0.99,0
2015-11-08,0.99,1.06,0.79,1,0
2015-11-15,1,1.08,0.73,0.9193,0
2015-11-22,0.9193,1,0.6612,0.97,0
2015-11-29,0.97,0.97,0.8155,0.87,0
2015-12-06,0.87,0.8885,0.7979,0.825,0
2015-12-13,0.825,0.9749,0.761,0.9199,0
2015-12-20,0.9199,1.1,0.8,1.07,0
2015-12-27,1.07,1.07,0.84,0.918,0
2016-01-03,0.918,0.97,0.84,0.96,0
2016-01-10,0.96,1,0.9186,1,0
2016-01-17,1,1.33,1,1.31,0
2016-01-24,1.31,2.3,1.1,2.1,0
2016-01-31,2.1,2.88,1.88,2.2,0
2016-02-07,2.2,3,2,3,0
2016-02-14,3,6.47,2.75,5.2,0
2016-02-21,5.2,5.98,3.32,4.63,0
2016-02-28,4.63,6.64,4.5,6.5,0
2016-03-06,6.5,12,6,10.98,0
2016-03-13,10.98,15.18,8.49,15,0
2016-03-20,15,15,8.09,10.06,0
2016-03-27,10.06,12.5,9.93,10.5,0
2016-04-03,10.5,12.13,10.3,11.58,0
2016-04-10,11.58,11.63,7.35,8.8,0
2016-04-17,8.8,9.99,7,9.45,0
2016-04-24,9.45,9.51,7.66,8,0
2016-05-01,8,9.49,7.1,8.76,0
2016-05-08,8.76,10.43,8.61,9.44,0
2016-05-15,9.44,11.12,9.17,9.94,0
2016-05-22,9.94,15.01,9.93,14.21,0
2016-05-29,14.21,14.4,10.34,12.28,0
2016-06-05,12.28,14.32,12.03,13.85,0
2016-06-12,13.85,15.6,13.71,15.57,0
2016-06-19,15.57,21.39,9.94,12.33,0
2016-06-26,12.33,15.9,10.42,13.82,0
2016-07-03,13.82,14.43,11.36,11.85,0
2016-07-10,11.85,11.88,8.98,10.97,0
2016-07-17,10.97,12.64,10.1,11.19,0
2016-07-24,11.19,15.27,10.9,12.63,0
2016-07-31,12.63,13.9,11.54,11.86,0
2016-08-07,11.86,12.05,7.03,10.98,0
2016-08-14,10.98,12.67,10.83,11.21,0
2016-08-21,11.21,11.43,10.64,11.14,0
2016-08-28,11.14,11.44,10.87,10.99,0
2016-09-04,10.99,12.6,10.77,11.71,0
2016-09-11,11.71,12.2,11.29,11.64,0
2016-09-18,11.64,13,11.62,12.39,0
2016-09-25,12.39,14.84,12.36,13.05,0
2016-10-02,13.05,13.56,12.8,13.23,0
2016-10-09,13.23,13.56,11.97,12.06,0
2016-10-16,12.06,12.23,11.6,11.93,0
2016-10-23,11.93,12.92,11.82,11.95,0
2016-10-30,11.95,12.02,9.42,11.22,0
2016-11-06,11.22,11.64,10.32,10.97,0
2016-11-13,10.97,11.04,9.64,10.13,0
2016-11-20,10.13,10.38,9.42,9.57,0
2016-11-27,9.57,10.25,8.64,8.91,0
2016-12-04,8.91,9.04,7.3,7.54,0
2016-12-11,7.54,8.9,5.97,8.2,0
2016-12-18,8.2,8.6,7.47,7.89,0
2016-12-25,7.89,7.96,7.02,7.19,0
2017-01-01,7.19,8.54,6.98,8.14,0
2017-01-08,8.14,11.63,8.03,10.27,0
2017-01-15,10.27,10.75,9.14,9.88,0
2017-01-22,9.88,11.01,9.55,10.71,0
2017-01-29,10.71,10.96,10.4,10.47,0
2017-02-05,10.47,11.4,10.42,11.22,0
2017-02-12,11.22,11.6,10.53,11.42,0
2017-02-19,11.42,14.05,11.19,12.82,0
2017-02-26,12.82,14.65,12.25,14.59,0
2017-03-05,14.59,21.06,14.3,19.22,0
2017-03-12,19.22,23.81,15.94,23.31,0
2017-03-19,23.31,54.88,23.3,43.12,0
2017-03-26,43.12,53.74,38.56,50.63,0
2017-04-02,50.63,53.97,46.83,48.55,0
2017-04-09,48.55,48.76,40.99,43.72,0
2017-04-16,43.72,62.03,42.49,48.22,0
2017-04-23,48.22,50.5,46.86,48.75,0
2017-04-30,48.75,81.26,48.72,79.83,0
2017-05-07,79.83,97.66,62.74,90.46,0
2017-05-14,90.46,93.45,75.07,88.72,0
2017-05-21,88.72,148.6,81.99,148,0
2017-05-28,148,216.1,114.17,172.86,0
2017-06-04,172.86,249.34,165.36,244.96,0
2017-06-11,244.96,351.82,241.5,339.68,0
2017-06-18,339.68,417.21,260.78,351.53,0
2017-06-25,351.53,365.22,138.5,279.36,0
2017-07-02,279.36,323.87,209.55,283.99,0
2017-07-09,283.99,284.31,230.96,237.72,0
2017-07-16,237.72,240.09,132.64,155.42,0
2017-07-23,155.42,256.89,154.25,228.32,0
2017-07-30,228.32,229.56,177.69,196.78,0
2017-08-06,196.78,272.22,190.53,264.56,0
2017-08-13,264.56,319.14,257.41,296.62,0
2017-08-20,296.62,310.43,271.38,298.2,0
2017-08-27,298.2,347.92,293.09,347.88,0
2017-09-03,347.88,395.3,328.87,352.45,0
2017-09-10,352.45,352.45,275.97,299.21,0
2017-09-17,299.21,316.38,200.75,258.4,0
2017-09-24,258.4,300.69,252.22,282.6,0
2017-10-01,282.6,312.64,279.79,303.95,0
2017-10-08,303.95,314.12,286.73,309.49,0
2017-10-15,309.49,347.7,286.52,336.58,0
2017-10-22,336.58,352.39,287.95,294.03,0
2017-10-29,294.03,311.3,274.96,304.04,0
2017-11-05,304.04,311.94,276.89,296.23,0
2017-11-12,296.22,329.21,287.45,306.02,0
2017-11-19,306.02,371.32,305.35,354.6,0
2017-11-26,354.67,483.38,351.41,470.54,0
2017-12-03,470.45,515.44,396.14,462.81,0
2017-12-10,462.92,507.36,404.16,436.49,0
2017-12-17,436.54,755.07,436.01,717.71,0
2017-12-24,717.73,868.89,490.28,675.91,0
2017-12-31,676.08,766.53,663.88,741.13,0
2018-01-07,741.09,1117.84,724.33,1117.75,0
2018-01-14,1117.75,1422.86,967.84,1359.48,0
2018-01-21,1359.38,1381.35,764.75,1049.09,0
2018-01-28,1049.09,1240.31,908.31,1231.86,0
2018-02-04,1232.05,1240.12,747.66,849.03,0
2018-02-11,849.01,909.28,564.5,832.47,0
2018-02-18,832.24,981.46,807.94,918.13,0
2018-02-25,918.41,958.84,788.02,847.18,0
2018-03-04,847.17,894.91,834.62,861.49,0
2018-03-11,861.91,868.78,642.14,721.3,0
2018-03-18,721.14,739.86,455.03,530.83,0
2018-03-25,530.81,590.05,507.42,532.11,0
2018-04-01,532.22,535.53,359.24,378.7,0
