Date,Open,High,Low,Close,Volume
2018-12-31,0.006003,0.00841,0.005806,0.006395,0
2019-01-31,0.006395,0.006767,0.003083,0.003182,0
2019-02-28,0.003182,0.004789,0.002878,0.003681,0
2019-03-31,0.003681,0.015,0.003681,0.0113,0
2019-04-30,0.0113,0.01798,0.008173,0.00918,0
2019-05-31,0.00918,0.023,0.007694,0.01958,0
2019-06-30,0.01958,0.04002,0.01649,0.02559,0
2019-07-31,0.02559,0.03356,0.01749,0.0229,0
2019-08-31,0.0229,0.02426,0.01394,0.01673,0
2019-09-30,0.01673,0.01969,0.01001,0.01082,0
2019-10-31,0.01082,0.01453,0.009801,0.01211,0
2019-11-30,0.01211,0.01456,0.009065,0.0127,0
2019-12-31,0.0127,0.01388,0.009443,0.01088,0
2020-01-31,0.01088,0.01109,0.008613,0.009231,0
2020-02-29,0.009231,0.01298,0.006569,0.006622,0
2020-03-31,0.006622,0.008612,0.001751,0.003064,0
2020-04-30,0.003064,0.005243,0.002852,0.004557,0
2020-05-31,0.004557,0.006292,0.003227,0.005563,0
2020-06-30,0.005563,0.007852,0.005422,0.006106,0
2020-07-31,0.006106,0.01947,0.005713,0.01328,0
2020-08-31,0.01328,0.04694,0.01197,0.0393,0
2020-09-30,0.0393,0.05668,0.02117,0.03905,0
2020-10-31,0.03905,0.04046,0.01496,0.01674,0
2020-11-30,0.01674,0.02551,0.01275,0.02102,0
2020-12-31,0.02102,0.02472,0.01477,0.01691,0
2021-01-31,0.01691,0.2592,0.01606,0.1236,0
2021-02-28,0.1236,0.8776,0.09694,0.422,0
2021-03-31,0.422,0.646,0.2953,0.4224,0
2021-04-30,0.4224,0.7952,0.2508,0.7401,0
2021-05-31,0.7401,0.9592,0.1837,0.3203,0
2021-06-30,0.3203,0.4022,0.1865,0.2415,0
2021-07-31,0.2415,0.2776,0.1531,0.256,0
2021-08-31,0.256,0.9051,0.2298,0.72,0
2021-09-30,0.72,1.938,0.6949,1.206,0
2021-10-31,1.206,3.484,1.199,2.866,0
2021-11-30,2.866,3.173,1.765,2.1711,0
2021-12-31,2.172,2.44948,1.168,2.26183,946746271.3854
2022-01-31,2.26173,3.37955,1.79036,2.03632,7896197679.4945
2022-02-28,2.03562,2.40502,1.29765,1.7478,3644259455.2
2022-03-31,1.7486,2.07982,1.03541,1.42308,4450286923.7132
2022-04-30,1.42313,1.68127,0.69377,0.6973,2403886630.6484
2022-05-31,0.6973,0.872313,0.228095,0.39948,7601107672.6469
2022-06-30,0.399592,0.412969,0.193863,0.24131,4816097466.6149
2022-07-31,0.24121,0.365493,0.221836,0.339778,11542365335.135
2022-08-31,0.339758,0.418166,0.260216,0.279877,18548429549.306
2022-09-30,0.279877,0.286582,0.215832,0.22471,12864321003.062
2022-10-31,0.22471,0.24871,0.187686,0.238433,8399993457.8677
2022-11-30,0.239598,0.314629,0.163901,0.24994,9468100285.8286
2022-12-31,0.2502,0.26097,0.190412,0.19921,5810599607.8138
2023-01-31,0.19931,0.553876,0.197227,0.537528,11281261058.222
2023-02-28,0.536438,0.655565,0.412275,0.433478,8551354254.268
2023-03-31,0.427741,0.533351,0.304466,0.476205,8269567118.8072
2023-04-30,0.4763,0.546165,0.397076,0.425693,4671611541.6586
2023-05-31,0.425598,0.445666,0.307648,0.308909,3212908483.7949
2023-06-30,0.308916,0.333517,0.21319,0.30439,4387984955.1608
2023-07-31,0.304087,0.323964,0.228941,0.23447,7836618375.3467
2023-08-31,0.23447,0.250542,0.175551,0.201766,7007363053.7507
2023-09-30,0.201664,0.207906,0.182751,0.19935,4140423960.6465
2023-10-31,0.19963,0.253779,0.171143,0.240889,3613730234.8199
2023-11-30,0.240969,0.379064,0.230429,0.302827,2315461492.9081
2023-12-31,0.302831,0.566806,0.290728,0.469688,2723448800.6179
2024-01-31,0.469273,0.519715,0.306709,0.35641,1283064489.1333
2024-02-29,0.356434,0.498174,0.342199,0.45798,945423362.58754
2024-03-31,0.456869,1.2274,0.456869,0.991029,4260741907.1044
2024-04-30,0.991629,1.04661,0.603292,0.64525,3000215758.643
2024-05-31,0.645264,0.833548,0.611838,0.802762,895345294.54232
