Date,Open,High,Low,Close,Volume
2021-11-28,8.3545,9.4975,6.9255,7.575,0
2021-12-05,7.623,8.6715,5,5.4805,0
2021-12-12,5.4815,6.92,4.3705,5.522,0
2021-12-19,5.522,5.525,4.41893,4.52186,0
2021-12-26,4.52056,4.93097,3.9944,4.67614,1085211
2022-01-02,4.67507,5.76383,4.575,4.96399,23325963.543251
2022-01-09,4.96459,5.0017,3.36153,3.8144,25879994.538194
2022-01-16,3.8103,4.38976,3.3105,4.10864,59542378.761671
2022-01-23,4.11064,4.28671,2.0239,2.37828,51273386.984892
2022-01-30,2.37111,3.24104,2.0024,2.54356,59421959.191312
2022-02-06,2.54572,4.27614,2.46493,2.74837,101765758.77906
2022-02-13,2.7488,3.81405,2.2051,2.31739,71185832.27724
2022-02-20,2.31939,2.50475,1.77589,1.83492,39933128.939022
2022-02-27,1.83792,1.96379,1.31766,1.41731,71440548.164342
2022-03-06,1.41871,1.64566,1.16783,1.18345,47382142.24804
2022-03-13,1.18556,1.9804,1.10203,1.6835,308880173.45395
2022-03-20,1.68067,2.36094,1.45929,2.09584,183428761.07457
2022-03-27,2.09605,2.44322,1.9938,2.27391,163162299.67484
2022-04-03,2.27291,2.84828,2.21466,2.62105,170587073.43645
2022-04-10,2.62779,2.67607,1.964,2.12843,102419583.30635
2022-04-17,2.12943,2.13321,1.70851,1.80046,70148383.708763
2022-04-24,1.79876,2.13043,1.57441,1.74005,103850521.20761
2022-05-01,1.73965,1.86279,1.2896,1.4961,81552155.973425
2022-05-08,1.49515,1.86681,1.34446,1.39158,111893882.34344
2022-05-15,1.38958,1.40372,0.644371,0.932879,146149778.74281
2022-05-22,0.932879,1.07371,0.782217,0.974829,87715295.233825
2022-05-29,0.977825,1.053945,0.794925,0.990409,95733531.425655
2022-06-05,0.992098,1.198041,0.90548,0.98827,113694194.48115
2022-06-12,0.98927,1.0722,0.72917,0.786332,160342866.57325
2022-06-19,0.785333,0.794294,0.632057,0.776589,615456201.73596
2022-06-26,0.776589,0.909381,0.732646,0.858476,152074224.78514
2022-07-03,0.858276,1.043247,0.800855,0.896134,164385476.97647
2022-07-10,0.895534,1.037369,0.880853,0.911153,63425243.842383
2022-07-17,0.910353,0.95071,0.808491,0.92426,52315338.235017
2022-07-24,0.92475,1.12779,0.8957,0.93078,87573187.571291
2022-07-31,0.92978,1.29545,0.78352,1.11826,146172509.15194
2022-08-07,1.12145,1.23207,0.97829,1.15822,80057496.219575
2022-08-14,1.15622,1.27822,1.0633,1.09034,59001842.962817
2022-08-21,1.08833,1.12733,0.822,0.88798,48866028.349208
2022-08-28,0.89497,0.89498,0.76607,0.79299,27147692.542334
2022-09-04,0.80099,0.876991,0.75992,0.841,27687383.743297
2022-09-11,0.839,0.890231,0.759977,0.860206,31106170.9617
2022-09-18,0.855205,0.912228,0.768923,0.771,29484230.843525
2022-09-25,0.812919,0.815,0.718,0.726,22015156.939408
2022-10-02,0.736,0.781,0.711929,0.7661,27123061.27253
2022-10-09,0.7658,0.802641,0.721908,0.734247,29608441.761075
2022-10-16,0.732373,0.741048,0.599858,0.629025,30551942.121228
2022-10-23,0.629631,0.652113,0.529584,0.553377,27892623.860265
2022-10-30,0.553472,0.677296,0.528689,0.611422,65551218.342503
2022-11-04,0.611728,0.724801,0.562506,0.701791,60657327.543228
2022-11-06,0.611728,0.724801,0.562506,0.615049,84546819.059844
2022-11-13,0.613843,0.619967,0.392834,0.412921,56919886.376407
2022-11-20,0.412721,0.438761,0.389676,0.393801,16493662.784198
2022-11-27,0.39301,0.469469,0.375931,0.452011,23332613.529394
2022-12-04,0.451911,0.514706,0.405273,0.506501,17055116.864928
2022-12-11,0.506401,0.518404,0.430843,0.432086,16367506.183551
2022-12-18,0.432687,0.476095,0.394028,0.41805,14450346.21321
2022-12-25,0.418,0.473009,0.410041,0.421945,14958851.471312
2023-01-01,0.423949,0.430935,0.3768,0.384119,9634343.2777262
2023-01-08,0.384119,0.443733,0.378841,0.443047,12948688.77803
2023-01-15,0.443447,0.593983,0.443316,0.589371,39279586.702739
2023-01-22,0.589977,0.709142,0.555422,0.672134,30690602.290054
2023-01-29,0.673128,0.750067,0.631095,0.676027,38731406.817386
2023-02-05,0.676027,1.03001,0.629994,0.885221,81973132.815463
2023-02-12,0.882221,1.208109,0.83818,1.018102,104760088.52087
2023-02-19,1.019102,1.28618,0.926732,1.033227,92941495.251201
2023-02-26,1.033227,1.089131,0.916092,0.973497,53734652.349613
2023-03-05,0.973768,1.12409,0.885124,1.060117,69798691.980655
2023-03-12,1.053116,1.159896,0.762148,0.906558,72198009.912388
2023-03-19,0.905447,1.579709,0.896031,1.477463,169740382.51921
2023-03-26,1.475457,1.540372,1.027118,1.09924,107567501.31615
2023-04-02,1.10081,1.1843,0.99237,1.04866,37894408.2752
2023-04-09,1.05265,1.12745,1.00773,1.0437,24950494.413819
2023-04-16,1.03569,1.24716,1.02228,1.21783,43665453.61909
2023-04-23,1.21783,1.22185,0.91382,0.94505,35481119.51259
2023-04-30,0.94105,1.08638,0.90016,0.98956,33445837.798612
2023-05-07,0.98854,0.99645,0.836294,0.859012,24867330.80775
2023-05-14,0.859012,0.871035,0.70063,0.75045,27254239.774507
2023-05-21,0.749374,0.803241,0.71743,0.722433,18381178.748443
2023-05-28,0.722433,0.790008,0.699686,0.768177,22054370.689803
2023-06-04,0.763168,0.840269,0.719151,0.834267,26848701.780833
2023-06-11,0.834275,0.835276,0.566108,0.612245,26258082.808567
2023-06-18,0.613245,0.648461,0.569875,0.621857,15611380.194007
2023-06-25,0.625856,0.76833,0.606727,0.741237,17195276.970348
2023-07-02,0.741237,0.7681,0.677,0.736066,22652251.749003
2023-07-09,0.734073,0.784133,0.687027,0.696125,12485995.814222
2023-07-16,0.702119,0.799144,0.676946,0.744342,11755242.174576
2023-07-23,0.74435,0.791192,0.715043,0.764185,12113369.620841
2023-07-30,0.775284,0.847354,0.694468,0.744433,77131167.74697
2023-08-06,0.747133,0.801191,0.727827,0.736587,12848239.639339
2023-08-13,0.738578,0.751546,0.695399,0.699547,7580033.109314
2023-08-20,0.696856,0.716324,0.5347,0.610963,14733567.547903
2023-08-27,0.613263,0.619289,0.552823,0.571831,29598732.625678
2023-09-03,0.571531,0.599476,0.532031,0.539408,9062504.4831952
2023-09-10,0.539403,0.560942,0.505774,0.516704,7528087.2520161
2023-09-17,0.516804,0.539249,0.481546,0.515524,7936609.2491032
2023-09-24,0.515324,0.769315,0.514298,0.595624,139993968.8628
2023-10-01,0.596124,0.620889,0.553157,0.609667,26259844.251562
2023-10-08,0.609773,0.6225,0.545222,0.558618,14021790.713512
2023-10-15,0.559719,0.571157,0.504155,0.529621,20201731.661809
2023-10-22,0.530927,0.568857,0.505111,0.563086,21591226.309006
2023-10-29,0.562891,0.67989,0.561897,0.677944,29048749.973461
2023-11-05,0.678537,0.988142,0.627082,0.931044,103657945.0055
2023-11-12,0.930234,1.280934,0.778725,1.188875,127904460.80877
2023-11-19,1.186786,1.35915,1.053953,1.33669,62148362.550902
