Date,Open,High,Low,Close,Volume
2019-01-31,3.229,4.219,1.709,1.959,0
2019-02-28,1.959,7.341,1.959,6.595,0
2019-03-31,6.595,9.908,4.931,7.74,0
2019-04-30,7.74,9.132,6.098,7.577,0
2019-05-31,7.577,9.821,5.564,6.231,0
2019-06-30,6.231,9.522,4.315,6.063,0
2019-07-31,6.063,8.553,4.575,7.218,0
2019-08-31,7.218,8.48,5.273,5.775,0
2019-09-30,5.775,6.503,3.226,3.432,0
2019-10-31,3.432,3.695,1.995,2.257,0
2019-11-30,2.257,2.623,1.85,1.931,0
2019-12-31,1.931,1.931,0.8681,1.32,0
2020-01-31,1.32,3.15,1.128,2.42,0
2020-02-29,2.42,2.522,1.328,1.387,0
2020-03-31,1.387,1.58,0.3743,0.6925,0
2020-04-30,0.6925,0.7569,0.464,0.7073,0
2020-05-31,0.7073,2.777,0.6677,2.411,0
2020-06-30,2.411,4.977,1.526,2.16,0
2020-07-31,2.16,2.47,1.382,1.896,0
2020-08-31,1.896,5.219,1.767,3.602,0
2020-09-30,3.602,4.366,2.622,2.983,0
2020-10-31,2.983,3.002,1.5,1.713,0
2020-11-30,1.713,1.763,1.084,1.279,0
2020-12-31,1.279,1.765,1.22,1.461,0
2021-01-31,1.461,6.598,1.331,3.151,0
2021-02-28,3.151,6.712,2.792,4.061,0
2021-03-31,4.061,33.7,3.832,23.4,0
2021-04-30,23.4,42.36,23.3,34.61,0
2021-05-31,34.61,46.29,11.18,23.74,0
2021-06-30,23.74,38.3,18.33,19.68,0
2021-07-31,19.68,23.62,10.82,18.72,0
2021-08-31,18.72,25.48,15.49,20.37,0
2021-09-30,20.37,25.69,15.06,16.92,0
2021-10-31,16.89,38.68,16.28,28.34,0
2021-11-30,28.34,100.99,25.94,52.8,0
2021-12-31,52.93,59.99,31.11866,39.74027,2253287.3888064
2022-01-31,39.85399,52.08521,20.38408,27.03551,5545601.3243058
2022-02-28,27.02851,36.42184,18.82941,25.7603,4399829.5621401
2022-03-31,25.8229,32.17643,21.40642,28.13563,2890096.3553482
2022-04-30,28.12844,30.97238,21.45214,23.28233,4860457.3052908
2022-05-31,23.21,25.18252,11.04215,12.72981,5398180.3451841
2022-06-30,12.7398,13.31934,6.44058,9.0691,23426026.691597
2022-07-31,9.07909,16.14194,7.50174,11.92274,14454632.771987
2022-08-31,11.92274,15.59779,9.37916,10.3099,7123262.8040883
2022-09-30,10.30979,11.52161,8.38,8.99,4099789.985724
2022-10-31,8.9909,9.95298,7.86969,9.35975,2446739.0663918
2022-11-30,9.37545,11.88012,6.34238,7.57053,5659772.9294973
2022-12-31,7.54053,7.86,4.31823,4.55162,3656117.445944
2023-01-31,4.55238,9.30093,4.25966,7.39074,9769431.6402574
2023-02-28,7.39052,11.44977,6.87993,7.07161,6577409.9716721
2023-03-31,7.07654,7.36185,4.80121,6.9895,9518448.9848925
2023-04-30,6.98467,7.31243,5.34392,5.5337,4946804.4083534
2023-05-31,5.5364,5.60564,4.38373,4.92093,3666338.8702987
2023-06-30,4.92368,5.58134,3.24522,4.82836,7012886.0327377
2023-07-31,4.81831,5.03975,3.91933,4.01352,3919288.6765427
2023-08-31,4.01086,9.25315,3.82511,6.95936,106618267.47217
2023-09-30,6.96229,8.16074,5.37773,5.44909,33070950.809868
2023-10-31,5.44979,7.10158,5.32592,6.14132,21458044.334216
2023-11-30,6.13439,7.67412,5.97173,6.2572,31187919.163063
2023-12-31,6.26496,10.65096,5.96672,7.86086,33487789.976283
2024-01-31,7.85923,9.55001,5.96812,7.02426,19681426.79968
2024-02-29,7.02676,20.87689,6.84528,13.32986,43793668.362751
2024-03-31,13.32172,27.3447,11.41498,18.60723,23032921.054101
2024-04-30,18.60023,18.99356,9.16193,12.40373,10088055.921914
2024-05-31,12.39986,20.96884,11.56222,19.63657,9275571.1329913
