Date,Open,High,Low,Close,Volume
2019-01-06,3.229,4.219,2.728,3.2,0
2019-01-13,3.2,3.24,2.306,2.446,0
2019-01-20,2.446,2.901,2.064,2.107,0
2019-01-27,2.107,2.316,2.06,2.239,0
2019-02-03,2.239,5.193,1.709,4.464,0
2019-02-10,4.464,5.758,3.645,4.415,0
2019-02-17,4.415,6.061,3.23,5.69,0
2019-02-24,5.69,6.41,4.402,5.416,0
2019-03-03,5.416,9.908,4.931,7.724,0
2019-03-10,7.724,7.854,5.63,6.186,0
2019-03-17,6.186,7.709,5.816,6.957,0
2019-03-24,6.957,8.438,5.995,7.133,0
2019-03-31,7.133,7.74,6.727,7.74,0
2019-04-07,7.74,9.132,7.468,8.525,0
2019-04-14,8.525,9.026,6.098,7.542,0
2019-04-21,7.542,8.569,6.646,7.916,0
2019-04-28,7.916,8.184,6.608,7.582,0
2019-05-05,7.582,8.584,6.809,7.984,0
2019-05-12,7.984,9.629,7.333,7.682,0
2019-05-19,7.682,9.821,6.347,7.454,0
2019-05-26,7.454,7.601,5.564,6.763,0
2019-06-02,6.763,7.293,5.509,5.847,0
2019-06-09,5.847,6.001,4.315,4.792,0
2019-06-16,4.792,6.579,4.587,5.477,0
2019-06-23,5.477,7.816,5.477,7.382,0
2019-06-30,7.382,9.522,5.665,6.063,0
2019-07-07,6.063,6.885,4.575,6.283,0
2019-07-14,6.283,7.306,4.673,5.374,0
2019-07-21,5.374,7.872,5.111,6.326,0
2019-07-28,6.326,7.149,5.863,6.795,0
2019-08-04,6.795,8.553,6.545,7.872,0
2019-08-11,7.872,8.48,6.454,6.992,0
2019-08-18,6.992,7.172,5.927,6.407,0
2019-08-25,6.407,7.022,5.578,5.893,0
2019-09-01,5.893,6.53,5.273,5.817,0
2019-09-08,5.817,6.503,4.8,5.023,0
2019-09-15,5.023,5.586,4.829,5.066,0
2019-09-22,5.066,5.085,3.856,3.964,0
2019-09-29,3.964,4.466,3.226,3.263,0
2019-10-06,3.263,3.65,3.147,3.368,0
2019-10-13,3.368,3.695,2.904,2.904,0
2019-10-20,2.904,3.106,2.062,2.163,0
2019-10-27,2.163,3.056,1.995,2.819,0
2019-11-03,2.819,2.931,2.115,2.536,0
2019-11-10,2.536,2.623,2.193,2.413,0
2019-11-17,2.413,2.413,2.21,2.24,0
2019-11-24,2.24,2.299,1.85,1.85,0
2019-12-01,1.85,2.057,1.729,1.83,0
2019-12-08,1.83,1.83,1.465,1.625,0
2019-12-15,1.625,1.626,0.8681,1.445,0
2019-12-22,1.445,1.531,1.224,1.284,0
2019-12-29,1.284,1.441,1.207,1.404,0
2020-01-05,1.404,1.404,1.252,1.329,0
2020-01-12,1.329,3.15,1.128,1.669,0
2020-01-19,1.669,2.179,1.654,1.819,0
2020-01-26,1.819,2.748,1.727,2.45,0
2020-02-02,2.45,2.804,2.124,2.268,0
2020-02-09,2.268,2.312,1.744,1.971,0
2020-02-16,1.971,2.157,1.521,1.676,0
2020-02-23,1.676,1.818,1.348,1.607,0
2020-03-01,1.607,1.74,1.328,1.388,0
2020-03-08,1.388,1.58,1.271,1.287,0
2020-03-15,1.287,1.287,0.3743,0.5727,0
2020-03-22,0.5727,0.8659,0.5141,0.6318,0
2020-03-29,0.6318,0.8324,0.5806,0.6,0
2020-04-05,0.6,0.7263,0.539,0.5827,0
2020-04-12,0.5827,0.6435,0.5157,0.5532,0
2020-04-19,0.5532,0.5778,0.464,0.5473,0
2020-04-26,0.5473,0.6447,0.4934,0.5979,0
2020-05-03,0.5979,0.7573,0.5979,0.7125,0
2020-05-10,0.7125,1.756,0.6677,1.432,0
2020-05-17,1.432,2.018,1.19,1.676,0
2020-05-24,1.676,2.181,1.523,1.918,0
2020-05-31,1.918,2.777,1.644,2.411,0
2020-06-07,2.411,2.911,2.011,2.128,0
2020-06-14,2.128,4.977,1.526,3.598,0
2020-06-21,3.598,4.478,1.58,2.778,0
2020-06-28,2.778,3.101,2.297,2.408,0
2020-07-05,2.408,2.478,1.699,1.907,0
2020-07-12,1.907,2.47,1.849,2.388,0
2020-07-19,2.388,2.388,1.382,1.534,0
2020-07-26,1.534,1.898,1.525,1.825,0
2020-08-02,1.825,2.126,1.778,1.97,0
2020-08-09,1.97,2.22,1.767,1.987,0
2020-08-16,1.987,5.219,1.987,5.047,0
2020-08-23,5.047,5.214,2.882,2.952,0
2020-08-30,2.952,3.808,2.813,3.799,0
2020-09-06,3.799,3.812,2.622,3.076,0
2020-09-13,3.076,4.366,2.905,3.694,0
2020-09-20,3.694,4.106,3.443,3.468,0
2020-09-27,3.468,3.578,3.154,3.184,0
2020-10-04,3.184,3.231,2.82,2.82,0
2020-10-11,2.82,2.892,2.602,2.653,0
2020-10-18,2.653,2.691,2.068,2.176,0
2020-10-25,2.176,2.229,1.811,1.826,0
2020-11-01,1.826,1.913,1.5,1.745,0
2020-11-08,1.745,1.763,1.525,1.679,0
2020-11-15,1.679,1.701,1.393,1.479,0
2020-11-22,1.479,1.591,1.084,1.282,0
2020-11-29,1.282,1.494,1.162,1.219,0
2020-12-06,1.219,1.374,1.181,1.324,0
2020-12-13,1.324,1.559,1.31,1.451,0
2020-12-20,1.451,1.765,1.408,1.545,0
2020-12-27,1.545,1.69,1.419,1.485,0
2021-01-03,1.485,1.602,1.389,1.597,0
2021-01-10,1.597,1.915,1.475,1.57,0
2021-01-17,1.57,1.649,1.331,1.54,0
2021-01-24,1.54,6.598,1.54,4.258,0
2021-01-31,4.258,4.97,2.751,3.151,0
2021-02-07,3.151,4.49,2.792,3.338,0
2021-02-14,3.338,5.789,3.224,4.588,0
2021-02-21,4.588,6.712,4.156,4.451,0
2021-02-28,4.451,4.931,3.257,4.061,0
2021-03-07,4.061,5.193,3.832,4.793,0
2021-03-14,4.793,7.157,4.485,7.139,0
2021-03-21,7.139,33.7,6.012,30.08,0
2021-03-28,30.08,30.08,16.9,24.62,0
2021-04-04,24.62,42.36,22.83,39.7,0
2021-04-11,39.7,40.31,28.51,31.18,0
2021-04-18,31.18,33.84,27,27.88,0
2021-04-25,27.88,31.75,26.78,26.85,0
2021-05-02,26.85,42.1,26.85,33.94,0
2021-05-09,33.94,36.85,28.58,33.23,0
2021-05-16,33.23,46.29,29.58,30.36,0
2021-05-23,30.36,30.74,11.18,13.63,0
2021-05-30,13.63,36.61,13.63,23.41,0
2021-06-06,23.41,31.33,23.34,25.67,0
2021-06-13,25.67,29.52,23.32,27.14,0
2021-06-20,27.14,28.76,23.29,25.24,0
2021-06-27,25.24,38.3,18.33,20.23,0
2021-07-04,20.23,23,17.17,18.14,0
2021-07-11,18.14,18.38,15.39,15.6,0
2021-07-18,15.6,17.17,12.18,12.95,0
2021-07-25,12.95,13.3,10.82,12.27,0
2021-08-01,12.27,23.62,11.94,16.87,0
2021-08-08,16.87,21.67,15.49,18.22,0
2021-08-15,18.22,21.11,17.06,20.01,0
2021-08-22,20.01,25.48,17.49,21.79,0
2021-08-29,21.79,22.04,18.49,20.64,0
2021-09-05,20.64,22.55,18.78,21.98,0
2021-09-12,21.98,23.63,16.85,18.63,0
2021-09-19,18.63,19.84,17.17,18.14,0
2021-09-26,18.14,25.69,15.06,17.05,0
2021-10-03,17.05,18.93,15.83,17.59,0
2021-10-10,17.59,19.33,16.67,17.79,0
2021-10-17,17.79,29.47,16.28,20.22,0
2021-10-24,20.22,38.68,19.77,23.31,0
2021-10-31,23.31,37.88,22.35,28.34,0
2021-11-07,28.34,39.55,25.94,36.19,0
2021-11-14,36.19,100.99,34.87,64.74,0
2021-11-21,64.74,73.27,45.91,50.15,0
2021-11-28,50.15,70.06,45.23,55.05,0
2021-12-05,55,59.99,35,40.84,0
2021-12-12,40.85,44.01,35.03,39.26,0
2021-12-19,39.11,39.67,31.11866,36.02941,0
2021-12-26,36.028,48.0288,32.34547,43.7575,45337
2022-01-02,43.78751,54.84548,38.0238,40.41808,2403996.0869056
2022-01-09,40.44409,52.08521,33.84661,37.41,2616732.2130048
2022-01-16,37.44,39.39575,32.19678,36.5256,726942.78247622
2022-01-23,36.5116,36.56062,20.70414,23.57471,1065442.6998389
2022-01-30,23.59472,27.56627,20.38408,26.09783,822914.42555446
2022-02-06,26.10344,31.05562,24.93097,30.03901,864587.11146212
2022-02-13,30.017,36.42184,25.59279,26.15568,1731549.1456875
2022-02-20,26.16569,29.24754,23.32165,24.07203,766034.07128832
2022-02-27,24.05202,25.99039,18.82941,24.35974,1054540.3180224
2022-03-06,24.2597,28.5114,22.07441,22.56677,756924.73887641
2022-03-13,22.54676,25.40508,21.40642,22.29669,399712.88641126
2022-03-20,22.23445,28.11405,22.03441,26.29314,691899.49511569
2022-03-27,26.27313,29.49179,25.64025,28.99159,668480.80773554
2022-04-03,29.04161,32.17643,26.38528,29.65889,885769.46934308
2022-04-10,29.65186,29.78191,23.49235,24.89747,592699.1349094
2022-04-17,24.84497,24.91747,22.05662,23.0146,430323.8024324
2022-04-24,22.97459,29.11582,21.45214,26.35527,2713411.3854639
2022-05-01,26.37527,26.95539,21.84218,22.76,918515.56371626
