Date,Open,High,Low,Close,Volume
2013-10-24,3,3,3,3,0
2013-10-25,3,3,3,3,0
2013-10-26,3,3,3,3,0
2013-10-27,3,3,3,3,0
2013-10-28,3,3,3,3,0
2013-10-29,3,3,3,3,0
2013-10-30,3,3,3,3,0
2013-10-31,3,3,3,3,0
2013-11-01,3,3,3,3,0
2013-11-02,3,3,3,3,0
2013-11-03,3,3,3,3,0
2013-11-04,3,3,3,3,0
2013-11-05,3,3,3,3,0
2013-11-06,3,3,3,3,0
2013-11-07,3,3.2,3,3.2,0
2013-11-08,3.2,3.2,3.2,3.2,0
2013-11-09,3.2,3.2,3.2,3.2,0
2013-11-10,3.2,3.2,3.2,3.2,0
2013-11-11,3.2,3.2,3.2,3.2,0
2013-11-12,3.2,3.2,3.2,3.2,0
2013-11-13,3.2,5,3.2,5,0
2013-11-14,5,5,3,3,0
2013-11-15,3,5,3,5,0
2013-11-16,5,5,4.25,4.25,0
2013-11-17,4.25,4.25,4.25,4.25,0
2013-11-18,4.25,5,4.25,5,0
2013-11-19,5,10,5,9,0
2013-11-20,9,9,9,9,0
2013-11-21,9,9,9,9,0
2013-11-22,9,11,9,10,0
2013-11-23,10,14.5,10,12.8,0
2013-11-24,12.8,13.8,10,10,0
2013-11-25,10,14,10,12,0
2013-11-26,12,20.5,11,20.5,0
2013-11-27,20.5,50,20.5,35.99,0
2013-11-28,35.99,65,35.99,46.1,0
2013-11-29,46.1,50,30.2,41,0
2013-11-30,41,48,38,41,0
2013-12-01,41,41.21,24.48,35.3,0
2013-12-02,35.3,40.5,29.8,33.51,0
2013-12-03,33.51,36.4,32,33,0
2013-12-04,33,43,31,32.2,0
2013-12-05,32.2,42.99,29,38,0
2013-12-06,38,39.2,32,32,0
2013-12-07,32,32,11,22.78,0
2013-12-08,22.78,28.4,22.78,27.93,0
2013-12-09,27.93,32.59,27,31.98,0
2013-12-10,31.98,36.6,31.98,35.26,0
2013-12-11,35.26,35.26,28.78,31.57,0
2013-12-12,31.57,32.93,30.98,31,0
2013-12-13,31,33,30.01,30.59,0
2013-12-14,30.59,32.39,30.01,30.01,0
2013-12-15,30.01,31.8,29.15,30.92,0
2013-12-16,30.92,32.13,25,25.77,0
2013-12-17,25.77,29,20.01,23.74,0
2013-12-18,23.74,23.74,8.48,13,0
2013-12-19,13,20,13,19.8,0
2013-12-20,19.8,22,17.22,18.85,0
2013-12-21,18.85,18.85,17.13,17.13,0
2013-12-22,17.13,19.01,17.13,18,0
2013-12-23,18,18.74,16.73,17.2,0
2013-12-24,17.2,18,17.2,18,0
2013-12-25,18,22.06,17.5,22.06,0
2013-12-26,22.06,25,21.9,24.97,0
2013-12-27,24.97,24.97,22,22.06,0
2013-12-28,22.06,23.33,22.06,22.33,0
2013-12-29,22.33,24.51,22.32,24.51,0
2013-12-30,24.51,25.18,23.16,24.96,0
2013-12-31,24.96,24.98,23.55,23.55,0
2014-01-01,23.55,25,23.55,24.77,0
2014-01-02,24.77,26.6,23.88,26.6,0
2014-01-03,26.6,26.6,24.1,25.49,0
2014-01-04,25.49,25.49,24.05,24.05,0
2014-01-05,24.05,27,24.05,26.01,0
2014-01-06,26.01,31.26,22.23,28.7,0
2014-01-07,28.7,29.71,23,23,0
2014-01-08,23,26,22.19,24.9,0
2014-01-09,24.9,25.79,24,24.5,0
2014-01-10,24.5,25.79,24,24.06,0
2014-01-11,24.06,27.62,24.06,26.35,0
2014-01-12,26.35,26.45,24,25.39,0
2014-01-13,25.39,26.31,24,25.01,0
2014-01-14,25.01,25.01,24,24.52,0
2014-01-15,24.52,25.47,24.39,24.52,0
2014-01-16,24.52,25.37,24.01,24.01,0
2014-01-17,24.01,24.99,23.27,24,0
2014-01-18,24,24.99,23.5,24.94,0
2014-01-19,24.94,24.94,23.35,24.9,0
2014-01-20,24.9,24.9,24.28,24.28,0
2014-01-21,24.28,25.5,23.5,25.49,0
2014-01-22,25.49,25.49,22.39,23,0
2014-01-23,23,23.73,22.3,22.3,0
2014-01-24,22.3,22.89,20.5,21.05,0
2014-01-25,21.05,22.35,20.29,22.26,0
2014-01-26,22.26,24,22,22.34,0
2014-01-27,22.34,23.5,20.78,20.78,0
2014-01-28,20.78,23,20.29,22.88,0
2014-01-29,22.88,22.88,20.63,21.7,0
2014-01-30,21.7,21.99,20.62,20.72,0
2014-01-31,20.72,21.61,20.72,21.59,0
2014-02-01,21.59,22.66,21.3,21.46,0
2014-02-02,21.46,21.87,21.46,21.87,0
