Date,Open,High,Low,Close,Volume
2013-10-27,3,3,3,3,0
2013-11-03,3,3,3,3,0
2013-11-10,3,3.2,3,3.2,0
2013-11-17,3.2,5,3,4.25,0
2013-11-24,4.25,14.5,4.25,10,0
2013-12-01,10,65,10,35.3,0
2013-12-08,35.3,43,11,27.93,0
2013-12-15,27.93,36.6,27,30.92,0
2013-12-22,30.92,32.13,8.48,18,0
2013-12-29,18,25,16.73,24.51,0
2014-01-05,24.51,27,23.16,26.01,0
2014-01-12,26.01,31.26,22.19,25.39,0
2014-01-19,25.39,26.31,23.27,24.9,0
2014-01-26,24.9,25.5,20.29,22.34,0
2014-02-02,22.34,23.5,20.29,21.87,0
2014-02-09,21.87,21.87,17,18.7,0
2014-02-16,18.7,19.71,14,15.23,0
2014-02-23,15.23,17.41,13.32,15,0
2014-03-02,15,16.61,11.13,12.86,0
2014-03-09,12.86,19.9,12.86,16.16,0
2014-03-16,16.16,17.9,15.98,17.18,0
2014-03-23,17.18,20.5,15.3,15.49,0
2014-03-30,15.49,17.28,12.75,12.75,0
2014-04-06,12.75,13.81,11,11.39,0
2014-04-13,11.39,12,9.12,10.35,0
2014-04-20,10.35,13.72,10.2,12.73,0
2014-04-27,12.73,12.91,5,10.31,0
2014-05-04,10.31,11.42,9.98,10.5,0
2014-05-11,10.5,11.27,9.89,10.34,0
2014-05-18,10.34,10.67,10.15,10.15,0
2014-05-25,10.15,12.06,9.56,11.8,0
2014-06-01,11.8,12.7,10.69,11.12,0
2014-06-08,11.12,12.5,10.63,11.44,0
2014-06-15,11.44,11.44,9.51,9.51,0
2014-06-22,9.51,10,9.5,10,0
2014-06-29,9.54,10,9.29,9.61,0
2014-07-06,9.61,9.61,7.02,7.02,0
2014-07-13,8,10.2,7.37,8.8,0
2014-07-20,7.69,10.75,7.69,10.75,0
2014-07-27,10.75,10.75,7.49,7.81,0
2014-08-03,7.81,7.89,7.1,7.58,0
2014-08-10,7.58,7.58,6.81,6.95,0
2014-08-17,6.95,7.01,4.17,4.34,0
2014-08-24,4.34,6.27,3.59,5.43,0
2014-08-31,5.43,5.82,4.74,4.92,0
2014-09-07,4.92,5.3,4.59,5.17,0
2014-09-14,5.17,5.57,4.94,5.43,0
2014-09-21,5.43,5.46,4.17,4.26,0
2014-09-28,4.26,4.89,4.19,4.23,0
2014-10-05,4.23,4.58,3.46,3.7,0
2014-10-12,3.7,4.03,3.57,3.82,0
2014-10-19,3.82,4.24,3.78,3.99,0
2014-10-26,3.99,3.99,3.62,3.71,0
2014-11-02,3.71,3.91,3.53,3.59,0
2014-11-09,3.59,3.67,3.52,3.62,0
2014-11-16,3.62,4.46,3.58,3.87,0
2014-11-23,3.87,4.01,3.47,3.58,0
2014-11-30,3.58,3.7,3.49,3.57,0
2014-12-07,3.57,3.8,3.56,3.72,0
2014-12-14,3.72,3.77,3.44,3.48,0
2014-12-21,3.48,3.48,2.67,2.85,0
2014-12-28,2.85,2.92,2.64,2.72,0
2015-01-04,2.72,2.75,1.89,1.95,0
2015-01-11,1.95,2.17,1.55,1.66,0
2015-01-18,1.66,1.79,1.12,1.32,0
2015-01-25,1.32,2.39,1.28,2.22,0
2015-02-01,2.22,2.37,1.66,1.84,0
2015-02-08,1.84,1.97,1.72,1.78,0
2015-02-15,1.78,2.03,1.68,1.83,0
2015-02-22,1.83,1.89,1.77,1.79,0
2015-03-01,1.79,1.92,1.79,1.87,0
2015-03-08,1.87,1.98,1.85,1.89,0
2015-03-15,1.89,2.08,1.88,2.01,0
2015-03-22,2.01,2.07,1.61,1.79,0
2015-03-29,1.79,1.8,1.6,1.65,0
2015-04-05,1.65,1.71,1.62,1.67,0
2015-04-12,1.67,1.69,1.41,1.46,0
2015-04-19,1.46,1.49,1.32,1.38,0
2015-04-26,1.38,1.48,1.29,1.32,0
2015-05-03,1.32,1.49,1.31,1.43,0
2015-05-10,1.43,1.5,1.37,1.43,0
2015-05-17,1.43,1.52,1.42,1.45,0
2015-05-24,1.45,1.94,1.44,1.81,0
2015-05-31,1.81,1.88,1.62,1.63,0
2015-06-07,1.63,1.78,1.58,1.73,0
2015-06-14,1.73,2.08,1.72,1.99,0
2015-06-21,1.99,3.14,1.99,3.01,0
2015-06-28,3.01,3.13,2.63,3.04,0
2015-07-05,3.04,4.95,3.01,4.77,0
2015-07-12,4.77,8.66,3.61,5.18,0
2015-07-19,5.18,5.24,3.18,3.6,0
2015-07-26,3.6,4.89,3.56,4.57,0
2015-08-02,4.57,5.09,3.84,4.14,0
2015-08-09,4.14,4.45,3.71,3.87,0
2015-08-16,3.87,4.29,3.79,3.95,0
2015-08-23,3.95,4.03,3.23,3.35,0
2015-08-30,3.35,3.37,2.49,2.79,0
2015-09-06,2.79,3.08,2.52,3.05,0
2015-09-13,3.05,3.15,2.75,2.8,0
2015-09-20,2.8,3.02,2.72,2.84,0
2015-09-27,2.84,2.94,2.76,2.86,0
2015-10-04,2.86,3.16,2.84,2.98,0
2015-10-11,2.98,3.14,2.94,3.13,0
2015-10-18,3.13,3.17,2.96,3,0
2015-10-25,3,3.15,2.94,3.07,0
2015-11-01,3.07,4,2.98,3.67,0
2015-11-08,3.67,4.94,3.27,3.34,0
2015-11-15,3.34,3.41,2.85,3.04,0
2015-11-22,3.04,3.23,3.01,3.11,0
2015-11-29,3.11,3.74,3.05,3.64,0
2015-12-06,3.64,3.75,3.27,3.44,0
2015-12-13,3.44,3.91,3.37,3.54,0
2015-12-20,3.54,3.79,3.43,3.51,0
2015-12-27,3.51,3.66,3.33,3.48,0
2016-01-03,3.48,3.53,3.39,3.47,0
2016-01-10,3.47,3.61,3.43,3.53,0
2016-01-17,3.53,3.63,2.89,3.02,0
2016-01-24,3.02,3.44,2.95,3.17,0
2016-01-31,3.17,3.32,3.02,3.06,0
2016-02-07,3.06,3.19,3,3.09,0
2016-02-14,3.09,3.2,3.02,3.19,0
2016-02-21,3.19,3.6,3.01,3.41,0
2016-02-28,3.41,3.51,3.27,3.4,0
2016-03-06,3.4,3.48,3.1,3.2,0
2016-03-13,3.2,3.38,3.16,3.28,0
2016-03-20,3.28,3.32,3.13,3.19,0
2016-03-27,3.19,3.34,3.15,3.28,0
2016-04-03,3.28,3.28,3.14,3.25,0
2016-04-10,3.25,3.27,3.16,3.21,0
2016-04-17,3.21,3.32,3.2,3.25,0
2016-04-24,3.25,3.59,3.22,3.57,0
2016-05-01,3.57,4.21,3.47,3.7,0
2016-05-08,3.7,4.02,3.61,3.91,0
2016-05-15,3.91,4.13,3.75,4.05,0
2016-05-22,4.05,4.18,3.78,3.94,0
2016-05-29,3.94,4.79,3.88,4.41,0
2016-06-05,4.41,4.88,4.33,4.79,0
2016-06-12,4.79,5.35,4.63,5.11,0
2016-06-19,5.11,11.71,4.87,5.48,0
2016-06-26,5.48,5.5,3.31,4,0
2016-07-03,4,4.63,3.88,4.29,0
2016-07-10,4.29,4.5,3.84,4.09,0
2016-07-17,4.09,4.3,4,4.14,0
2016-07-24,4.14,4.18,3.95,4.05,0
2016-07-31,4.05,4.12,3.88,3.94,0
2016-08-07,3.94,3.95,3.25,3.76,0
2016-08-14,3.76,3.81,3.58,3.62,0
2016-08-21,3.62,3.67,3.54,3.61,0
2016-08-28,3.61,4.01,3.57,3.73,0
2016-09-04,3.73,4.04,3.7,4.01,0
2016-09-11,4.01,4.03,3.8,3.85,0
2016-09-18,3.85,3.86,3.73,3.83,0
2016-09-25,3.83,3.94,3.73,3.8,0
2016-10-02,3.8,3.88,3.78,3.84,0
2016-10-09,3.84,3.86,3.76,3.81,0
2016-10-16,3.81,3.96,3.72,3.86,0
2016-10-23,3.86,3.92,3.71,3.88,0
2016-10-30,3.88,4.1,3.83,3.96,0
2016-11-06,3.96,4.17,3.73,3.87,0
2016-11-13,3.87,3.94,3.58,3.85,0
2016-11-20,3.85,4.02,3.83,3.88,0
2016-11-27,3.88,3.96,3.82,3.86,0
