Date,Open,High,Low,Close,Volume
2019-04-30,0.003667,0.005137,0.003667,0.004441,0
2019-05-31,0.004441,0.04554,0.003024,0.02215,0
2019-06-30,0.02215,0.02767,0.01428,0.02218,0
2019-07-31,0.02218,0.02342,0.0112,0.0114,0
2019-08-31,0.0114,0.02119,0.009446,0.01184,0
2019-09-30,0.01184,0.0152,0.01034,0.01089,0
2019-10-31,0.01089,0.01755,0.009993,0.01374,0
2019-11-30,0.01374,0.02938,0.01298,0.02908,0
2019-12-31,0.02908,0.04298,0.01107,0.01372,0
2020-01-31,0.01372,0.01939,0.01372,0.01784,0
2020-02-29,0.01784,0.02521,0.01706,0.02025,0
2020-03-31,0.02025,0.02858,0.007769,0.01105,0
2020-04-30,0.01105,0.01699,0.01105,0.01569,0
2020-05-31,0.01569,0.02689,0.01372,0.02148,0
2020-06-30,0.02148,0.02311,0.0182,0.01906,0
2020-07-31,0.01906,0.02381,0.01791,0.0204,0
2020-08-31,0.0204,0.03248,0.01953,0.02642,0
2020-09-30,0.02642,0.02699,0.01697,0.01981,0
2020-10-31,0.01981,0.02051,0.0129,0.01388,0
2020-11-30,0.01388,0.02389,0.01163,0.01958,0
2020-12-31,0.01957,0.02112,0.01448,0.01741,0
2021-01-31,0.01741,0.04801,0.01723,0.03775,0
2021-02-28,0.03778,0.2308,0.03628,0.2231,0
2021-03-31,0.2229,0.5369,0.1844,0.3551,0
2021-04-30,0.3547,0.9448,0.2948,0.7927,0
2021-05-31,0.7916,2.681,0.689,1.856,0
2021-06-30,1.857,1.983,0.9333,1.149,0
2021-07-31,1.149,1.179,0.6227,1.065,0
2021-08-31,1.065,1.699,1.007,1.339,0
2021-09-30,1.338,1.796,1.018,1.127,0
2021-10-31,1.127,2.217,1.121,1.937,0
2021-11-30,1.937,2.153,1.449,1.8288,0
2021-12-31,1.8308,2.92446,1.6355,2.53725,2070856270.2984
2022-01-31,2.53825,2.604,1.30739,1.64282,8788459746.6662
2022-02-28,1.64182,2.1021,1.24562,1.58063,6500302114.6996
2022-03-31,1.58363,1.75035,1.32927,1.62833,3155023737.5414
2022-04-30,1.62749,1.72969,1.077,1.093,2652281840.5241
2022-05-31,1.092,1.18688,0.479245,0.658896,5357615885.5372
2022-06-30,0.65923,0.67042,0.315879,0.447462,8151557703.8049
2022-07-31,0.447363,1.015923,0.445565,0.939316,12980272285.576
2022-08-31,0.939516,1.054901,0.754102,0.840943,5510861607.7046
2022-09-30,0.840601,0.943523,0.690272,0.771648,4431467614.9801
2022-10-31,0.771151,0.967852,0.716243,0.903737,4213047221.115
2022-11-30,0.904046,1.30308,0.763305,0.930437,8935285809.7527
2022-12-31,0.929937,0.950186,0.749786,0.755921,2942186045.2746
2023-01-31,0.756121,1.19344,0.747525,1.109,5796475139.8379
2023-02-28,1.1096,1.5671,1.06869,1.2013,6264058470.7107
2023-03-31,1.20138,1.26121,0.94342,1.11992,5592632133.7423
2023-04-30,1.11972,1.1913,0.94968,0.98046,3002409632.0474
2023-05-31,0.98545,1.014812,0.820528,0.88739,2556818698.9078
2023-06-30,0.887243,0.909117,0.519898,0.660176,4547218454.7995
2023-07-31,0.660176,0.88612,0.648644,0.68599,3063673591.3621
2023-08-31,0.685784,0.702949,0.528725,0.548014,5203541066.5373
2023-09-30,0.548002,0.568971,0.492441,0.535235,3476417711.5411
2023-10-31,0.533465,0.66496,0.50084,0.633765,4654058780.1835
2023-11-30,0.636453,0.983033,0.61706,0.761721,4862142173.2343
2023-12-31,0.761717,1.0918,0.751095,0.964678,5471279745.3252
2024-01-31,0.965258,1.03405,0.690764,0.787167,3350631311.1309
2024-02-29,0.786758,1.07795,0.76221,0.993787,2895167321.224
2024-03-31,0.992585,1.28828,0.909463,0.999021,3605486739.0403
2024-04-30,0.999019,1.0072,0.624304,0.659619,3202184575.7373
2024-05-31,0.659341,0.777601,0.631965,0.689063,1072249617.6752
