Date,Open,High,Low,Close,Volume
2019-05-05,0.003667,0.005137,0.003592,0.003766,0
2019-05-12,0.003766,0.005582,0.003024,0.005373,0
2019-05-19,0.005373,0.02081,0.005373,0.02024,0
2019-05-26,0.02024,0.04554,0.0188,0.02443,0
2019-06-02,0.02443,0.02572,0.01879,0.0201,0
2019-06-09,0.0201,0.02682,0.0175,0.02545,0
2019-06-16,0.02545,0.02767,0.01974,0.02245,0
2019-06-23,0.02245,0.02478,0.01976,0.02095,0
2019-06-30,0.02095,0.02626,0.01428,0.02218,0
2019-07-07,0.02218,0.02342,0.01618,0.01779,0
2019-07-14,0.01779,0.01906,0.01367,0.01429,0
2019-07-21,0.01429,0.01543,0.01178,0.01355,0
2019-07-28,0.01355,0.01355,0.01123,0.01172,0
2019-08-04,0.01172,0.01221,0.0101,0.01021,0
2019-08-11,0.01021,0.02119,0.009446,0.01605,0
2019-08-18,0.01605,0.01845,0.01305,0.01384,0
2019-08-25,0.01384,0.01791,0.01359,0.01379,0
2019-09-01,0.01379,0.01496,0.01139,0.01231,0
2019-09-08,0.01231,0.0152,0.01231,0.01396,0
2019-09-15,0.01396,0.01465,0.01269,0.01289,0
2019-09-22,0.01289,0.01484,0.01235,0.01255,0
2019-09-29,0.01255,0.0128,0.01034,0.01097,0
2019-10-06,0.01097,0.01147,0.009993,0.01023,0
2019-10-13,0.01023,0.01755,0.01023,0.01502,0
2019-10-20,0.01502,0.0169,0.01298,0.01386,0
2019-10-27,0.01386,0.01578,0.01231,0.01404,0
2019-11-03,0.01404,0.01494,0.0131,0.01356,0
2019-11-10,0.01356,0.01601,0.01356,0.01574,0
2019-11-17,0.01574,0.01578,0.01355,0.01431,0
2019-11-24,0.01431,0.01705,0.01298,0.01511,0
2019-12-01,0.01511,0.02938,0.01511,0.02671,0
2019-12-08,0.02671,0.04298,0.02496,0.04169,0
2019-12-15,0.04169,0.04175,0.01107,0.01419,0
2019-12-22,0.01419,0.02097,0.01175,0.01616,0
2019-12-29,0.01616,0.01693,0.0145,0.01472,0
2020-01-05,0.01472,0.0156,0.01365,0.01487,0
2020-01-12,0.01487,0.0164,0.01424,0.01497,0
2020-01-19,0.01497,0.01939,0.01475,0.01645,0
2020-01-26,0.01645,0.01762,0.01568,0.01652,0
2020-02-02,0.01652,0.01951,0.01644,0.01904,0
2020-02-09,0.01904,0.02521,0.0183,0.02194,0
2020-02-16,0.02194,0.02463,0.01906,0.02015,0
2020-02-23,0.02015,0.02315,0.01902,0.02235,0
2020-03-01,0.02235,0.02235,0.01706,0.01932,0
2020-03-08,0.01932,0.02858,0.01932,0.02143,0
2020-03-15,0.02143,0.02256,0.009047,0.00991,0
2020-03-22,0.00991,0.01192,0.007769,0.01008,0
2020-03-29,0.01008,0.01243,0.009882,0.01,0
2020-04-05,0.01,0.01204,0.01,0.01146,0
2020-04-12,0.01146,0.01398,0.01146,0.01269,0
2020-04-19,0.01269,0.01362,0.01123,0.01311,0
2020-04-26,0.01311,0.01613,0.0117,0.01542,0
2020-05-03,0.01542,0.01802,0.01477,0.0171,0
2020-05-10,0.0171,0.01858,0.01372,0.01527,0
2020-05-17,0.01527,0.02163,0.01392,0.0204,0
2020-05-24,0.0205,0.02295,0.01824,0.02019,0
2020-05-31,0.0202,0.02689,0.01909,0.02148,0
2020-06-07,0.02148,0.02311,0.01959,0.0202,0
2020-06-14,0.0202,0.02199,0.01938,0.02073,0
2020-06-21,0.02074,0.02302,0.01881,0.02155,0
2020-06-28,0.02155,0.02298,0.0182,0.02007,0
2020-07-05,0.02007,0.02045,0.01818,0.01898,0
2020-07-12,0.01898,0.02187,0.01886,0.02095,0
2020-07-19,0.02086,0.02381,0.01994,0.0212,0
2020-07-26,0.02129,0.02287,0.02028,0.02077,0
2020-08-02,0.02077,0.02154,0.01791,0.02016,0
2020-08-09,0.02016,0.0238,0.01982,0.02283,0
2020-08-16,0.02283,0.03248,0.02186,0.02954,0
2020-08-23,0.02954,0.03207,0.02378,0.02544,0
2020-08-30,0.02544,0.02872,0.02491,0.02739,0
2020-09-06,0.0274,0.02765,0.01697,0.01911,0
2020-09-13,0.01901,0.02155,0.01712,0.01958,0
2020-09-20,0.01958,0.02249,0.0193,0.02175,0
2020-09-27,0.02175,0.02354,0.0172,0.01866,0
2020-10-04,0.01868,0.02051,0.0173,0.01854,0
2020-10-11,0.01843,0.01909,0.01546,0.01745,0
2020-10-18,0.01744,0.01854,0.01595,0.01685,0
2020-10-25,0.01685,0.01799,0.01532,0.01719,0
2020-11-01,0.01719,0.01781,0.0129,0.01411,0
2020-11-08,0.01425,0.01714,0.01163,0.01581,0
2020-11-15,0.01581,0.01786,0.01533,0.01624,0
2020-11-22,0.01626,0.02011,0.0162,0.0196,0
2020-11-29,0.01962,0.02389,0.01573,0.01871,0
2020-12-06,0.0187,0.02112,0.01791,0.01928,0
2020-12-13,0.01928,0.01965,0.01659,0.01811,0
2020-12-20,0.01811,0.02085,0.01794,0.01907,0
