Date,Open,High,Low,Close,Volume
2022-01-29,3.16163,3.20196,3.02091,3.13894,1734313.2574507
2022-01-30,3.12863,3.76913,2.94788,3.10124,6665986.4588279
2022-01-31,3.09024,3.66246,2.85114,3.53977,7752057.8737731
2022-02-01,3.53877,4.04902,3.42806,3.83091,7161802.2842708
2022-02-02,3.8323,4.23354,3.28064,3.35969,13414520.665201
2022-02-03,3.36202,3.48874,3.14357,3.32966,8737462.6138926
2022-02-04,3.32766,3.66783,3.25062,3.50981,8308000.7235399
2022-02-05,3.51381,4.0048,3.4968,3.71923,8219019.4684719
2022-02-06,3.71323,3.85131,3.42071,3.55742,4657386.9982732
2022-02-07,3.55542,3.85169,3.45707,3.7116,5417025.1227196
2022-02-08,3.7146,3.75262,3.20924,3.4441,4810518.7031014
2022-02-09,3.4471,3.49379,3.21125,3.33466,4652831.2806419
2022-02-10,3.33333,3.48278,3.02242,3.11518,4413159.9740295
2022-02-11,3.11918,3.16153,2.64679,2.64979,4337172.9531536
2022-02-12,2.64779,2.78239,2.53552,2.70635,4777123.9364852
2022-02-13,2.70262,2.97148,2.50125,2.6083,5236898.4715612
2022-02-14,2.60956,2.89874,2.53126,2.77767,3832918.9316711
2022-02-15,2.78167,3.25795,2.77867,3.14889,5278432.2356598
2022-02-16,3.15489,3.82191,2.9998,3.26396,9835532.3458122
2022-02-17,3.26063,3.34767,2.73164,2.84699,3482569.4725111
2022-02-18,2.84371,2.98209,2.67861,2.69662,2964770.7688258
2022-02-19,2.69662,2.78567,2.53227,2.6113,1373925.3410491
2022-02-20,2.60856,2.62758,2.34394,2.43722,1935159.275561
2022-02-21,2.44422,2.88044,2.41196,2.45498,5167049.5706115
2022-02-22,2.45122,2.494,2.21789,2.36418,3820282.4325036
2022-02-23,2.36718,2.64559,2.36718,2.42946,4559426.5251242
2022-02-24,2.42746,2.42746,2.0012,2.33093,7530803.5376366
2022-02-25,2.33493,2.55202,2.32093,2.54902,4856955.256412
2022-02-26,2.54927,2.71909,2.46098,2.46098,2729181.5201945
2022-02-27,2.46023,2.54027,2.33293,2.39796,2449290.6495087
2022-02-28,2.39596,2.65106,2.35894,2.64432,1570736.1445378
2022-03-01,2.64306,2.9949,2.53201,2.97989,4696028.7041005
2022-03-02,2.9859,3.331,2.86757,2.92058,9576648.0041096
2022-03-03,2.92088,2.93688,2.68754,2.78156,3424781.4117463
2022-03-04,2.77455,2.80356,2.48475,2.49075,2481028.727128
2022-03-05,2.50175,2.69381,2.4755,2.60078,2090131.7836727
2022-03-06,2.60452,2.64153,2.4805,2.56977,1459557.4689355
2022-03-07,2.57277,2.59678,2.41248,2.4985,1921029.8594595
2022-03-08,2.50375,2.55851,2.43773,2.4855,1196366.8146273
2022-03-09,2.4775,2.76055,2.4775,2.64053,2246582.0198252
2022-03-10,2.63753,2.65553,2.4785,2.52101,1436007.0421136
2022-03-11,2.52301,2.56002,2.35471,2.39548,1840712.0644979
2022-03-12,2.39548,2.41948,2.359,2.36924,510056.3670433
2022-03-13,2.37171,2.40324,2.24867,2.25168,1252605.866039
2022-03-14,2.24845,2.30946,2.24622,2.30446,626812.48582508
2022-03-15,2.30546,2.35671,2.24345,2.3377,912787.42531154
2022-03-16,2.3397,2.53276,2.27145,2.49375,2477119.1021203
2022-03-17,2.49575,2.58077,2.41921,2.42121,991246.17667786
2022-03-18,2.42097,2.57354,2.35418,2.51826,4830035.1113789
2022-03-19,2.51926,3.09686,2.51801,2.67607,6106141.7818073
2022-03-20,2.67607,2.77811,2.51526,2.61505,1543142.5441365
2022-03-21,2.61204,2.77239,2.54502,2.72509,1176171.8285813
2022-03-22,2.72309,2.91146,2.62531,2.87644,2050142.6668814
2022-03-23,2.87544,2.87944,2.71909,2.78511,1413047.2622712
2022-03-24,2.78511,2.94918,2.76911,2.83942,1636476.212137
2022-03-25,2.84014,2.91633,2.75283,2.76338,1378857.7902744
2022-03-26,2.76238,2.76411,2.64006,2.70608,1049442.1176188
2022-03-27,2.70535,2.79512,2.53026,2.79084,1479831.4247296
2022-03-28,2.79112,3.11425,2.76283,2.9902,2701852.8251378
2022-03-29,2.9902,3.13825,2.86086,2.89044,1919381.8697524
2022-03-30,2.89545,3.04291,2.84714,3.0149,839435.23734416
2022-03-31,3.0099,3.25865,2.89158,2.94888,3090063.133994
2022-04-01,2.94788,3.09655,2.81284,2.9849,1777022.0937888
2022-04-02,2.9879,3.2423,2.93688,3.12025,2670428.5947233
2022-04-03,3.12425,3.16627,3.0112,3.06122,1430896.3336859
2022-04-04,3.06423,3.09924,2.73055,2.90558,2215855.115205
2022-04-05,2.90458,2.97989,2.78083,2.83728,1497196.3527132
2022-04-06,2.83857,2.84557,2.496,2.579,1391383.5827375
2022-04-07,2.57926,2.65327,2.46925,2.563,1352197.5606713
2022-04-08,2.56426,2.61152,2.42773,2.493,2544790.2250898
2022-04-09,2.493,2.5025,2.40272,2.48875,763193.85544057
2022-04-10,2.49175,2.57977,2.44873,2.5255,569856.97353285
2022-04-11,2.5235,2.5235,2.0006,2.0146,2407818.2151303
2022-04-12,2.0154,2.15743,2.0004,2.02961,4275883.1901484
2022-04-13,2.03161,2.11764,2.0016,2.10563,1935914.1124425
2022-04-14,2.10342,2.13064,1.96359,2.0234,2568245.6431137
2022-04-15,2.0224,2.06441,2.0044,2.0222,831352.20086235
2022-04-16,2.0224,2.0482,2.0094,2.0164,275948.2132219
2022-04-17,2.0202,2.04841,1.9784,2.04641,485559.94756752
2022-04-18,2.04741,2.04741,1.87938,1.9916,3141910.4676006
2022-04-19,1.9936,2.17343,1.98059,2.07141,3839672.740846
2022-04-20,2.07141,2.20222,2.02941,2.06941,1816001.2979601
2022-04-21,2.06741,2.12643,1.94339,1.95639,1195854.5498142
2022-04-22,1.9582,1.97039,1.84818,1.92719,1843813.321289
2022-04-23,1.92839,1.93639,1.85219,1.89719,1001916.913876
2022-04-24,1.89438,1.90138,1.77335,1.79536,809729.47516916
2022-04-25,1.79636,1.80636,1.56816,1.71217,2319699.056016
2022-04-26,1.71334,1.74935,1.4903,1.54615,1901098.7605038
2022-04-27,1.545,1.555,1.44014,1.46515,1129556.2211617
2022-04-28,1.46415,1.622,1.46415,1.55416,2207970.6173064
2022-04-29,1.55516,1.60116,1.37014,1.38314,1560345.7727049
2022-04-30,1.38314,1.42114,1.261,1.26413,1067966.0970651
2022-05-01,1.261,1.79618,1.20112,1.52015,15790292.703145
2022-05-02,1.52415,1.91619,1.47915,1.64616,13985369.193072
2022-05-03,1.64616,1.76818,1.47985,1.49985,4836655.2689326
2022-05-04,1.5017,1.808,1.48785,1.761,4751372.4108142
2022-05-05,1.76147,1.89162,1.4807,1.57468,4466725.4221957
2022-05-06,1.57269,1.61784,1.46271,1.49985,3502166.2591591
2022-05-07,1.50285,1.51985,1.35686,1.35886,2520685.6019651
2022-05-08,1.35573,1.36345,1.28049,1.3236,2041259.4832192
2022-05-09,1.3236,1.3236,1.06657,1.16677,3274242.6166013
2022-05-10,1.16565,1.26162,1.06468,1.10656,4278173.0998334
2022-05-11,1.10456,1.19152,0.72018,0.77006,3462436.7177069
2022-05-12,0.77704,0.856474,0.587946,0.768918,4586454.9497299
2022-05-13,0.767844,1.082288,0.754956,0.83358,3372069.4341243
2022-05-14,0.838572,0.903462,0.747427,0.822846,2363619.6661483
2022-05-15,0.822846,0.934877,0.7988,0.915808,3221560.5687322
2022-05-16,0.916807,1.084371,0.831917,0.954757,3771503.3240594
2022-05-17,0.955756,1.10656,0.905821,0.99081,3088747.2290831
2022-05-18,0.99071,0.997801,0.82992,0.860793,1514961.61194
2022-05-19,0.859795,0.935064,0.818934,0.908091,1262214.4700137
2022-05-20,0.913086,0.94396,0.851976,0.877945,1520025.9387762
2022-05-21,0.878944,0.928791,0.852975,0.893837,1109146.2505221
2022-05-22,0.888843,0.938778,0.86596,0.879943,1155563.891191
2022-05-23,0.882939,0.958041,0.870954,0.882939,1695106.1404446
2022-05-24,0.879943,0.900827,0.826008,0.894835,1590656.0347674
2022-05-25,0.894746,0.927885,0.868044,0.882029,1277755.7397287
2022-05-26,0.882939,0.884027,0.754094,0.790209,1255707.586462
2022-05-27,0.791129,0.800199,0.675256,0.704295,1564545.9369927
2022-05-28,0.702199,0.728213,0.685149,0.712166,869850.30970627
2022-05-29,0.712152,0.723269,0.679313,0.700222,868817.60124517
2022-05-30,0.702213,0.866393,0.701228,0.844324,2481797.6692155
2022-05-31,0.842326,0.915359,0.78637,0.847237,5396147.555663
2022-06-01,0.848363,0.858364,0.724275,0.744329,3016868.8769445
2022-06-02,0.740333,0.760315,0.723276,0.757318,1206420.698218
2022-06-03,0.758317,0.774303,0.704436,0.72337,1243917.1137489
2022-06-04,0.722371,0.728358,0.691419,0.721451,3023821.5151339
2022-06-05,0.722465,0.731341,0.679429,0.717332,3040790.0195561
2022-06-06,0.718324,0.794324,0.6814,0.712401,13550559.973798
2022-06-07,0.718396,0.746305,0.653444,0.726404,11932589.828432
2022-06-08,0.72841,0.729423,0.681536,0.688552,6051133.7302463
2022-06-09,0.688552,0.716362,0.668505,0.69042,4588619.7973871
2022-06-10,0.690413,0.708397,0.611364,0.63219,13802120.095823
2022-06-11,0.633188,0.641262,0.546322,0.568357,3198814.5885222
2022-06-12,0.567358,0.578195,0.49231,0.535335,3561193.7644953
2022-06-13,0.534337,0.548303,0.358278,0.418418,53591593.360316
2022-06-14,0.41942,0.443352,0.361548,0.363563,63229436.515935
2022-06-15,0.364558,0.419538,0.324415,0.418372,38020862.105887
2022-06-16,0.419412,0.423449,0.339626,0.365488,8950537.9912765
2022-06-17,0.339028,0.37,0.334235,0.36,43709021.189342
2022-06-18,0.35,0.37,0.273594,0.305504,44252374.509133
2022-06-19,0.309495,0.579304,0.29558,0.452411,43541949.127353
2022-06-20,0.45341,0.537408,0.421494,0.425531,38375423.799044
2022-06-21,0.425531,0.504444,0.415542,0.443512,18759852.115316
2022-06-22,0.444511,0.554445,0.412546,0.507492,20820955.770541
2022-06-23,0.506493,0.61938,0.488462,0.554445,23506023.525314
2022-06-24,0.554445,0.620379,0.537548,0.572553,23063647.28273
2022-06-25,0.571428,0.574592,0.510653,0.550614,10166463.465827
2022-06-26,0.551619,0.553618,0.509699,0.525674,9206466.795618
2022-06-27,0.523686,0.547677,0.469563,0.485563,6559335.2183493
2022-06-28,0.485553,0.703359,0.47953,0.576313,32225190.019409
2022-06-29,0.576285,0.644329,0.55232,0.588287,16166191.072413
2022-06-30,0.587294,0.60224,0.485417,0.4994,17122835.513169
2022-07-01,0.4985,0.5475,0.4785,0.4995,16115919.160162
2022-07-02,0.499,0.506,0.479,0.4845,9722703.6493039
2022-07-05,0.502447,0.510438,0.479472,0.502447,2124048.9921858
2022-07-06,0.504444,0.524423,0.489412,0.512436,3279944.2170252
2022-07-07,0.513383,0.579362,0.505393,0.556666,8533820.1914116
2022-07-08,0.556666,0.577538,0.504697,0.518689,4617636.6186247
2022-07-09,0.517689,0.537677,0.510642,0.523686,2845476.8522031
2022-07-10,0.524685,0.531681,0.489657,0.505696,2401891.8021202
2022-07-11,0.502698,0.529629,0.482614,0.500549,3512162.6458928
2022-07-12,0.500549,0.504495,0.465487,0.473526,2158237.4690059
2022-07-13,0.472541,0.486513,0.433566,0.476571,2202881.4955426
2022-07-14,0.476571,0.503698,0.469671,0.490656,3084858.2959999
2022-07-15,0.489706,0.54878,0.488707,0.527842,3165888.5324015
2022-07-16,0.527842,0.544837,0.4988,0.524895,2537767.4657894
2022-07-17,0.523864,0.549868,0.507903,0.526858,2359546.2765193
2022-07-18,0.524864,0.597,0.513836,0.578867,3773887.978144
2022-07-19,0.577827,0.657993,0.553945,0.637102,7427212.9033696
2022-07-20,0.639,0.641,0.555961,0.578029,4854305.0373645
2022-07-21,0.579058,0.586105,0.537021,0.566136,2398550.1849502
2022-07-22,0.565141,0.603054,0.545082,0.54612,3427914.1960109
2022-07-23,0.546126,0.593119,0.537059,0.55011,5362903.5573097
2022-07-24,0.550055,0.654941,0.549055,0.632126,11807744.253437
2022-07-25,0.632126,0.64813,0.566062,0.581046,4386646.9226151
2022-07-26,0.580052,0.580087,0.510015,0.523078,3515282.3970124
2022-07-27,0.524073,0.591154,0.523073,0.58214,5548866.0635548
2022-07-28,0.584134,0.626169,0.567085,0.606121,4494346.6393218
2022-07-29,0.606152,0.643064,0.575195,0.602241,5510191.7637495
2022-07-30,0.604242,0.644225,0.599228,0.607206,2741605.7191994
2022-07-31,0.607212,0.858266,0.593172,0.774178,33548696.508999
2022-08-01,0.77531,0.77631,0.655098,0.687206,8519255.0735499
2022-08-02,0.687206,0.722188,0.63219,0.700119,5066066.43026
2022-08-03,0.701133,0.754166,0.661172,0.734184,3444354.1562654
2022-08-04,0.734169,0.734169,0.66602,0.67302,3119753.7237886
2022-08-05,0.67102,0.814967,0.67102,0.767146,6585870.9157047
2022-08-06,0.767146,0.775155,0.73211,0.739163,2384657.5559423
2022-08-07,0.73917,0.765099,0.71315,0.754136,2212612.0954033
2022-08-08,0.754136,0.843169,0.736132,0.761091,4581969.9031265
2022-08-09,0.761091,0.770162,0.694153,0.715143,3113124.6565079
2022-08-10,0.718144,0.77455,0.675155,0.726211,3519117.0002264
