Date,Open,High,Low,Close,Volume
2022-01-30,3.16163,3.76913,2.94788,3.10124,8400299.7162786
2022-02-06,3.09024,4.23354,2.85114,3.55742,58250250.627423
2022-02-13,3.55542,3.85169,2.50125,2.6083,33644730.441692
2022-02-20,2.60956,3.82191,2.34394,2.43722,28703308.37109
2022-02-27,2.44422,2.88044,2.0012,2.39796,31112989.491991
2022-03-06,2.39596,3.331,2.35894,2.56977,25298912.24423
2022-03-13,2.57277,2.76055,2.24867,2.25168,10403360.033606
2022-03-20,2.24845,3.09686,2.24345,2.61505,17487284.627257
2022-03-27,2.61204,2.94918,2.53026,2.79084,10183969.302494
2022-04-03,2.79112,3.25865,2.76283,3.06122,14429080.088426
2022-04-10,3.06423,3.09924,2.40272,2.5255,10334473.66539
2022-04-17,2.5235,2.5235,1.96359,2.04641,12780721.522487
2022-04-24,2.04741,2.20222,1.77335,1.79536,13648898.766555
2022-05-01,1.79636,1.80636,1.20112,1.52015,25976929.227903
2022-05-08,1.52415,1.91619,1.28049,1.3236,36104233.639358
2022-05-15,1.3236,1.3236,0.587946,0.915808,24558557.052876
2022-05-22,0.916807,1.10656,0.818934,0.879943,13422162.715585
2022-05-29,0.882939,0.958041,0.675256,0.700222,9122439.3493468
2022-06-05,0.702213,0.915359,0.679429,0.717332,19409763.44848
2022-06-12,0.718324,0.794324,0.49231,0.535335,56685031.778703
2022-06-19,0.534337,0.579304,0.273594,0.452411,295295774.79924
2022-06-26,0.45341,0.620379,0.412546,0.525674,143898832.75439
2022-07-03,0.523686,0.703359,0.469563,0.4845,97912174.632806
2022-07-10,0.502447,0.579362,0.479472,0.505696,23802818.673571
2022-07-17,0.502698,0.549868,0.433566,0.526858,19021342.181151
2022-07-24,0.524864,0.657993,0.513836,0.632126,39052518.110586
2022-07-31,0.632126,0.858266,0.510015,0.774178,59745636.014452
2022-08-07,0.77531,0.814967,0.63219,0.754136,31332569.950914
2022-08-14,0.754136,0.843169,0.675155,0.732227,24660623.562525
2022-08-21,0.732227,0.742208,0.527857,0.602982,26102952.059626
2022-08-28,0.601988,0.645981,0.494015,0.528,28136010.985814
2022-09-04,0.528,0.558011,0.4953,0.5151,14564921.039028
2022-09-11,0.515,0.697042,0.457982,0.552132,41302694.306819
2022-09-18,0.552138,0.59915,0.418,0.438,24565643.63972
2022-09-25,0.434,0.50205,0.426957,0.463,25646298.008235
2022-10-02,0.462695,0.502,0.448545,0.458,11418974.169766
2022-10-09,0.457846,0.587117,0.441744,0.470494,56526234.354688
2022-10-16,0.470047,0.477024,0.366778,0.436022,33285958.85126
2022-10-23,0.435022,0.525037,0.402992,0.469061,44096464.362724
2022-10-30,0.469056,0.572166,0.469005,0.566113,36136724.639393
2022-11-06,0.564113,1.173047,0.563113,0.931074,143707477.8169
2022-11-13,0.930065,0.984079,0.395184,0.482324,73357709.815968
2022-11-20,0.480423,0.527314,0.43733,0.44033,14080664.573185
2022-11-27,0.440325,0.566665,0.39952,0.513671,28133565.276686
2022-12-04,0.512672,0.548,0.448798,0.509051,18452367.310505
2022-12-11,0.510102,0.552055,0.478,0.5001,18781814.469963
2022-12-18,0.5011,0.53693,0.429043,0.449058,12713156.04495
2022-12-25,0.450054,0.452081,0.409,0.418937,8798693.6956024
2023-01-01,0.41895,0.459779,0.398197,0.403514,9942193.0224082
2023-01-08,0.40351,0.433822,0.400336,0.426636,12680380.072711
2023-01-15,0.426815,0.608182,0.426815,0.565164,42086624.481885
2023-01-22,0.565164,0.742111,0.521953,0.674128,53004552.41285
2023-01-29,0.674135,1.439389,0.674135,1.31605,122549951.67214
2023-02-05,1.31605,1.87041,1.14402,1.76744,126670141.20231
2023-02-12,1.76544,2.19013,1.27728,1.58613,158552044.291
2023-02-19,1.58916,2.13738,1.394,1.72538,117460504.51239
2023-02-26,1.72738,1.88024,1.31325,1.54212,59718793.253873
2023-03-05,1.54008,1.63397,1.17306,1.20413,57818602.451985
2023-03-12,1.20014,1.28599,0.89493,1.166007,46893741.70659
2023-03-19,1.168026,1.598732,1.149917,1.497524,86909111.573743
2023-03-26,1.497524,1.505608,1.128274,1.20636,49603402.271122
2023-04-02,1.21033,1.3904,1.08935,1.26678,31981995.14236
