Date,Open,High,Low,Close,Volume
2021-06-22,6.0E-6,7.0E-6,6.0E-6,6.0E-6,0
2021-06-23,6.0E-6,7.0E-6,6.0E-6,7.0E-6,0
2021-06-24,7.0E-6,7.0E-6,7.0E-6,7.0E-6,0
2021-06-25,7.0E-6,8.0E-6,7.0E-6,7.0E-6,0
2021-06-26,7.0E-6,8.0E-6,7.0E-6,7.0E-6,0
2021-06-27,7.0E-6,8.0E-6,7.0E-6,8.0E-6,0
2021-06-28,8.0E-6,8.0E-6,8.0E-6,8.0E-6,0
2021-06-29,8.0E-6,1.0E-5,8.0E-6,9.0E-6,0
2021-06-30,9.0E-6,9.0E-6,8.0E-6,9.0E-6,0
2021-07-01,9.0E-6,9.0E-6,8.0E-6,8.0E-6,0
2021-07-02,8.0E-6,8.0E-6,8.0E-6,8.0E-6,0
2021-07-03,8.0E-6,9.0E-6,8.0E-6,9.0E-6,0
2021-07-04,9.0E-6,9.0E-6,8.0E-6,9.0E-6,0
2021-07-05,9.0E-6,9.0E-6,8.0E-6,8.0E-6,0
2021-07-06,8.0E-6,9.0E-6,8.0E-6,9.0E-6,0
2021-07-07,9.0E-6,9.0E-6,9.0E-6,9.0E-6,0
2021-07-08,9.0E-6,9.0E-6,8.0E-6,8.0E-6,0
2021-07-09,8.0E-6,8.0E-6,8.0E-6,8.0E-6,0
2021-07-10,8.0E-6,8.0E-6,8.0E-6,8.0E-6,0
2021-07-11,8.0E-6,8.0E-6,8.0E-6,8.0E-6,0
2021-07-12,8.0E-6,8.0E-6,7.0E-6,8.0E-6,0
2021-07-13,8.0E-6,8.0E-6,7.0E-6,7.0E-6,0
2021-07-14,7.0E-6,8.0E-6,7.0E-6,7.0E-6,0
2021-07-15,7.0E-6,7.0E-6,7.0E-6,7.0E-6,0
2021-07-16,7.0E-6,7.0E-6,7.0E-6,7.0E-6,0
2021-07-17,7.0E-6,7.0E-6,7.0E-6,7.0E-6,0
2021-07-18,7.0E-6,7.0E-6,7.0E-6,7.0E-6,0
2021-07-19,7.0E-6,7.0E-6,6.0E-6,6.0E-6,0
2021-07-20,6.0E-6,6.0E-6,6.0E-6,6.0E-6,0
2021-07-21,6.0E-6,7.0E-6,6.0E-6,7.0E-6,0
2021-07-22,7.0E-6,7.0E-6,6.0E-6,6.0E-6,0
2021-07-23,6.0E-6,7.0E-6,6.0E-6,6.0E-6,0
2021-07-24,6.0E-6,7.0E-6,6.0E-6,6.0E-6,0
2021-07-25,6.0E-6,7.0E-6,6.0E-6,6.0E-6,0
2021-07-26,6.0E-6,7.0E-6,6.0E-6,6.0E-6,0
2021-07-27,6.0E-6,6.0E-6,6.0E-6,6.0E-6,0
2021-07-28,6.0E-6,6.0E-6,6.0E-6,6.0E-6,0
2021-07-29,6.0E-6,6.0E-6,6.0E-6,6.0E-6,0
2021-07-30,6.0E-6,6.0E-6,6.0E-6,6.0E-6,0
2021-07-31,6.0E-6,6.0E-6,6.0E-6,6.0E-6,0
2021-08-01,6.0E-6,7.0E-6,6.0E-6,6.0E-6,0
2021-08-02,6.0E-6,6.0E-6,6.0E-6,6.0E-6,0
2021-08-03,6.0E-6,6.0E-6,6.0E-6,6.0E-6,0
2021-08-04,6.0E-6,6.0E-6,6.0E-6,6.0E-6,0
2021-08-05,6.0E-6,6.0E-6,6.0E-6,6.0E-6,0
2021-08-06,6.0E-6,6.0E-6,6.0E-6,6.0E-6,0
2021-08-07,6.0E-6,8.0E-6,6.0E-6,8.0E-6,0
2021-08-08,8.0E-6,9.0E-6,7.0E-6,7.0E-6,0
2021-08-09,7.0E-6,8.0E-6,7.0E-6,8.0E-6,0
2021-08-10,8.0E-6,8.0E-6,7.0E-6,8.0E-6,0
2021-08-11,8.0E-6,8.0E-6,8.0E-6,8.0E-6,0
2021-08-12,8.0E-6,8.0E-6,7.0E-6,8.0E-6,0
2021-08-13,8.0E-6,8.0E-6,8.0E-6,8.0E-6,0
2021-08-14,8.0E-6,9.0E-6,8.0E-6,8.0E-6,0
2021-08-15,8.0E-6,9.0E-6,8.0E-6,9.0E-6,0
2021-08-16,9.0E-6,9.0E-6,8.0E-6,9.0E-6,0
2021-08-17,9.0E-6,9.0E-6,8.0E-6,8.0E-6,0
2021-08-18,8.0E-6,8.0E-6,8.0E-6,8.0E-6,0
2021-08-19,8.0E-6,8.0E-6,8.0E-6,8.0E-6,0
2021-08-20,8.0E-6,9.0E-6,8.0E-6,8.0E-6,0
2021-08-21,8.0E-6,9.0E-6,8.0E-6,8.0E-6,0
2021-08-22,8.0E-6,8.0E-6,8.0E-6,8.0E-6,0
2021-08-23,8.0E-6,8.0E-6,8.0E-6,8.0E-6,0
2021-08-24,8.0E-6,8.0E-6,7.0E-6,8.0E-6,0
2021-08-25,8.0E-6,8.0E-6,7.0E-6,8.0E-6,0
2021-08-26,8.0E-6,8.0E-6,7.0E-6,7.0E-6,0
2021-08-27,7.0E-6,8.0E-6,7.0E-6,7.0E-6,0
2021-08-28,7.0E-6,7.0E-6,7.0E-6,7.0E-6,0
2021-08-29,7.0E-6,7.0E-6,7.0E-6,7.0E-6,0
2021-08-30,7.0E-6,7.0E-6,6.0E-6,7.0E-6,0
2021-08-31,7.0E-6,7.0E-6,7.0E-6,7.0E-6,0
2021-09-01,7.0E-6,7.0E-6,7.0E-6,7.0E-6,0
2021-09-02,7.0E-6,7.0E-6,7.0E-6,7.0E-6,0
2021-09-03,7.0E-6,7.0E-6,7.0E-6,7.0E-6,0
2021-09-04,7.0E-6,8.0E-6,7.0E-6,7.0E-6,0
2021-09-05,7.0E-6,8.0E-6,7.0E-6,8.0E-6,0
2021-09-06,8.0E-6,8.0E-6,7.0E-6,7.0E-6,0
2021-09-07,7.0E-6,7.0E-6,5.0E-6,6.0E-6,0
2021-09-08,6.0E-6,8.0E-6,5.0E-6,7.0E-6,0
2021-09-09,7.0E-6,8.0E-6,7.0E-6,7.0E-6,0
2021-09-10,7.0E-6,8.0E-6,7.0E-6,7.0E-6,0
2021-09-11,7.0E-6,7.0E-6,7.0E-6,7.0E-6,0
2021-09-12,7.0E-6,7.0E-6,7.0E-6,7.0E-6,0
2021-09-13,7.0E-6,7.0E-6,6.0E-6,6.0E-6,0
2021-09-14,6.0E-6,7.0E-6,6.0E-6,7.0E-6,0
2021-09-15,7.0E-6,7.0E-6,7.0E-6,7.0E-6,0
2021-09-16,7.0E-6,9.0E-6,7.0E-6,9.0E-6,0
2021-09-17,9.0E-6,1.0E-5,8.0E-6,8.0E-6,0
2021-09-18,8.0E-6,9.0E-6,8.0E-6,8.0E-6,0
2021-09-19,8.0E-6,8.0E-6,7.0E-6,8.0E-6,0
2021-09-20,8.0E-6,8.0E-6,7.0E-6,7.0E-6,0
2021-09-21,7.0E-6,7.0E-6,7.0E-6,7.0E-6,0
2021-09-22,7.0E-6,7.0E-6,7.0E-6,7.0E-6,0
2021-09-23,7.0E-6,8.0E-6,7.0E-6,8.0E-6,0
2021-09-24,8.0E-6,8.0E-6,7.0E-6,7.0E-6,0
2021-09-25,7.0E-6,8.0E-6,7.0E-6,7.0E-6,0
2021-09-26,7.0E-6,7.0E-6,7.0E-6,7.0E-6,0
2021-09-27,7.0E-6,7.0E-6,7.0E-6,7.0E-6,0
2021-09-28,7.0E-6,7.0E-6,7.0E-6,7.0E-6,0
2021-09-29,7.0E-6,7.0E-6,7.0E-6,7.0E-6,0
2021-09-30,7.0E-6,7.0E-6,7.0E-6,7.0E-6,0
2021-10-01,7.0E-6,8.0E-6,7.0E-6,8.0E-6,0
2021-10-02,8.0E-6,8.0E-6,7.0E-6,8.0E-6,0
2021-10-03,8.0E-6,9.0E-6,8.0E-6,9.0E-6,0
2021-10-04,9.0E-6,1.5E-5,8.0E-6,1.4E-5,0
2021-10-05,1.4E-5,2.0E-5,1.2E-5,1.7E-5,0
2021-10-06,1.7E-5,2.9E-5,1.7E-5,2.8E-5,0
2021-10-07,2.8E-5,3.5E-5,2.1E-5,2.3E-5,0
2021-10-08,2.3E-5,3.0E-5,2.1E-5,2.7E-5,0
2021-10-09,2.7E-5,3.0E-5,2.4E-5,2.7E-5,0
2021-10-10,2.7E-5,2.8E-5,2.5E-5,2.6E-5,0
2021-10-11,2.6E-5,3.2E-5,2.6E-5,3.1E-5,0
2021-10-12,3.1E-5,3.2E-5,2.7E-5,2.9E-5,0
2021-10-13,2.9E-5,3.1E-5,2.8E-5,2.9E-5,0
2021-10-14,2.9E-5,3.0E-5,2.6E-5,2.7E-5,0
2021-10-15,2.7E-5,2.8E-5,2.3E-5,2.5E-5,0
2021-10-16,2.5E-5,2.7E-5,2.5E-5,2.6E-5,0
2021-10-17,2.6E-5,2.9E-5,2.4E-5,2.8E-5,0
2021-10-18,2.8E-5,3.0E-5,2.6E-5,2.9E-5,0
2021-10-19,2.9E-5,2.9E-5,2.8E-5,2.8E-5,0
2021-10-20,2.8E-5,3.0E-5,2.7E-5,2.9E-5,0
2021-10-21,2.9E-5,2.9E-5,2.7E-5,2.7E-5,0
2021-10-22,2.7E-5,2.8E-5,2.7E-5,2.8E-5,0
2021-10-23,2.8E-5,3.5E-5,2.8E-5,3.4E-5,0
2021-10-24,3.4E-5,4.5E-5,3.3E-5,3.6E-5,0
2021-10-25,3.6E-5,4.4E-5,3.5E-5,4.2E-5,0
2021-10-26,4.2E-5,5.0E-5,4.0E-5,4.8E-5,0
2021-10-27,4.8E-5,8.8E-5,4.7E-5,7.9E-5,0
2021-10-28,7.9E-5,8.9E-5,5.8E-5,6.9E-5,0
2021-10-29,6.9E-5,7.8E-5,6.1E-5,7.5E-5,0
2021-10-30,7.5E-5,7.8E-5,6.2E-5,6.5E-5,0
2021-10-31,6.5E-5,7.0E-5,5.8E-5,6.7E-5,0
2021-11-01,6.7E-5,7.5E-5,6.6E-5,7.2E-5,0
2021-11-02,7.2E-5,7.3E-5,6.7E-5,6.9E-5,0
2021-11-03,6.9E-5,6.9E-5,5.3E-5,5.5E-5,0
2021-11-04,5.5E-5,6.1E-5,4.3E-5,4.9E-5,0
2021-11-05,4.9E-5,6.5E-5,4.5E-5,6.3E-5,0
2021-11-06,6.3E-5,6.3E-5,5.5E-5,5.9E-5,0
2021-11-07,5.9E-5,6.0E-5,5.6E-5,5.7E-5,0
2021-11-08,5.7E-5,5.9E-5,5.3E-5,5.5E-5,0
2021-11-09,5.5E-5,5.8E-5,5.3E-5,5.5E-5,0
2021-11-10,5.5E-5,5.5E-5,4.6E-5,5.0E-5,0
2021-11-11,5.0E-5,5.8E-5,4.8E-5,5.7E-5,0
2021-11-12,5.7E-5,5.7E-5,5.1E-5,5.2E-5,0
2021-11-13,5.2E-5,5.3E-5,5.1E-5,5.2E-5,0
2021-11-14,5.2E-5,5.6E-5,5.2E-5,5.3E-5,0
2021-11-15,5.3E-5,5.6E-5,5.2E-5,5.3E-5,0
2021-11-16,5.3E-5,5.3E-5,4.5E-5,4.8E-5,0
2021-11-17,4.8E-5,5.0E-5,4.7E-5,4.8E-5,0
2021-11-18,4.8E-5,4.9E-5,4.1E-5,4.3E-5,0
2021-11-19,4.3E-5,5.3E-5,4.2E-5,4.8E-5,0
2021-11-20,4.8E-5,5.0E-5,4.6E-5,4.8E-5,0
2021-11-21,4.8E-5,4.8E-5,4.3E-5,4.4E-5,0
2021-11-22,4.4E-5,4.6E-5,4.3E-5,4.3E-5,0
2021-11-23,4.3E-5,4.5E-5,4.1E-5,4.2E-5,0
2021-11-24,4.2E-5,4.2E-5,3.57E-5,3.8E-5,0
2021-11-25,3.81E-5,4.84E-5,3.74E-5,4.26E-5,0
2021-11-26,4.26E-5,4.34E-5,3.65E-5,3.9E-5,0
2021-11-27,3.9E-5,4.17E-5,3.81E-5,3.92E-5,0
2021-11-28,3.92E-5,3.93E-5,3.65E-5,3.82E-5,0
2021-11-29,3.82E-5,4.51E-5,3.82E-5,4.37E-5,0
2021-11-30,4.36E-5,5.5E-5,4.32E-5,4.85E-5,0
2021-12-01,4.84E-5,4.88E-5,4.35E-5,4.41E-5,0
2021-12-02,4.4E-5,4.44E-5,4.13E-5,4.27E-5,0
2021-12-03,4.26E-5,4.49E-5,3.92E-5,4.04E-5,0
2021-12-04,4.04E-5,4.08E-5,3.07E-5,3.74E-5,0
2021-12-05,3.75E-5,3.82E-5,3.43E-5,3.58E-5,0
2021-12-06,3.58E-5,3.73E-5,3.29E-5,3.72E-5,0
2021-12-07,3.72E-5,3.88E-5,3.56E-5,3.59E-5,0
2021-12-08,3.59E-5,3.77E-5,3.57E-5,3.68E-5,0
2021-12-09,3.67E-5,3.73E-5,3.42E-5,3.51E-5,0
2021-12-10,3.5E-5,3.63E-5,3.42E-5,3.43E-5,0
2021-12-11,3.43E-5,3.51E-5,3.31E-5,3.41E-5,0
2021-12-12,3.41E-5,3.79E-5,3.38E-5,3.7E-5,0
2021-12-13,3.69E-5,3.73E-5,3.17E-5,3.32E-5,0
2021-12-14,3.32E-5,3.563E-5,3.24E-5,3.39E-5,0
2021-12-15,3.39E-5,3.43772E-5,3.1966E-5,3.35701E-5,0
2021-12-16,3.35701E-5,3.46308E-5,3.28266E-5,3.30599E-5,0
2021-12-17,3.30699E-5,3.318E-5,3.02121E-5,3.12825E-5,0
2021-12-18,3.12725E-5,3.21829E-5,3.08023E-5,3.13525E-5,0
2021-12-19,3.13525E-5,3.18827E-5,3.06523E-5,3.10824E-5,0
2021-12-20,3.10824E-5,3.37601E-5,2.82757E-5,3.09693E-5,0
2021-12-21,3.09724E-5,3.34734E-5,3.09124E-5,3.31533E-5,0
2021-12-22,3.31433E-5,3.78551E-5,3.25198E-5,3.53377E-5,0
2021-12-23,3.53277E-5,3.86793E-5,3.44169E-5,3.83992E-5,0
2021-12-24,3.83954E-5,3.98899E-5,3.59215E-5,3.63882E-5,0
2021-12-25,3.63918E-5,3.83392E-5,3.57779E-5,3.7485E-5,0
2021-12-26,3.7495E-5,3.89595E-5,3.66183E-5,3.84892E-5,9082947995029
2021-12-27,3.84892E-5,3.94897E-5,3.77651E-5,3.90917E-5,11724755086543
2021-12-28,3.90817E-5,3.92718E-5,3.41634E-5,3.5137E-5,22004401141331
2021-12-29,3.5137E-5,3.62773E-5,3.348E-5,3.42368E-5,11175420284076
2021-12-30,3.42368E-5,3.43569E-5,3.29233E-5,3.36167E-5,6548679798632
2021-12-31,3.36167E-5,3.46369E-5,3.26365E-5,3.35234E-5,5978594925263.7
2022-01-01,3.35234E-5,3.42034E-5,3.33333E-5,3.40268E-5,4761804430239.1
2022-01-02,3.40268E-5,3.44469E-5,3.34467E-5,3.40068E-5,5117569289325.8
2022-01-03,3.40068E-5,3.41268E-5,3.215E-5,3.30233E-5,6692313103136.9
2022-01-04,3.30133E-5,3.35E-5,3.22735E-5,3.26667E-5,7109188445197.9
2022-01-05,3.26235E-5,3.299E-5,2.86271E-5,3.0447E-5,12517515209157
2022-01-06,3.0457E-5,3.18236E-5,2.91413E-5,3.09169E-5,15419502399330
2022-01-07,3.09269E-5,3.09469E-5,2.85743E-5,2.89871E-5,14058674073513
2022-01-08,2.89771E-5,2.9927E-5,2.64247E-5,2.785E-5,12054896231842
2022-01-09,2.785E-5,2.911E-5,2.74973E-5,2.848E-5,8892024685395
2022-01-10,2.848E-5,2.872E-5,2.55974E-5,2.666E-5,11514217031911
2022-01-11,2.667E-5,2.82828E-5,2.63074E-5,2.76328E-5,10365476341703
2022-01-12,2.76328E-5,3.26431E-5,2.74027E-5,3.21829E-5,20415561509774
2022-01-13,3.21829E-5,3.28932E-5,2.92317E-5,2.98419E-5,18874537502100
2022-01-14,2.98419E-5,3.26063E-5,2.93247E-5,3.10893E-5,20379982204008
2022-01-15,3.11024E-5,3.15258E-5,3.05353E-5,3.08354E-5,7669993736629.5
2022-01-16,3.08354E-5,3.10755E-5,3.0102E-5,3.05422E-5,6547570142704.6
2022-01-17,3.05422E-5,3.06322E-5,2.82585E-5,2.87315E-5,8945834123745.8
2022-01-18,2.87315E-5,2.95489E-5,2.74482E-5,2.83185E-5,10693386593231
2022-01-19,2.83285E-5,2.83485E-5,2.70881E-5,2.75783E-5,7413998657005.8
2022-01-20,2.75683E-5,2.88158E-5,2.65227E-5,2.70054E-5,6588458352059.2
2022-01-21,2.69854E-5,2.69954E-5,2.17043E-5,2.23467E-5,17811426768636
2022-01-22,2.24045E-5,2.26868E-5,1.71534E-5,2.0016E-5,37758131219352
2022-01-23,2.0016E-5,2.36871E-5,1.9864E-5,2.17243E-5,40312933149880
2022-01-24,2.17243E-5,2.32346E-5,1.87137E-5,2.09863E-5,27056321595981
2022-01-25,2.09963E-5,2.16308E-5,2.0046E-5,2.10405E-5,16654076968215
2022-01-26,2.10605E-5,2.35418E-5,2.04902E-5,2.10326E-5,15191892299236
2022-01-27,2.10426E-5,2.16108E-5,1.9982E-5,2.12906E-5,13572635479028
2022-01-28,2.13185E-5,2.14143E-5,2.03561E-5,2.10742E-5,7379897920371.9
2022-01-29,2.10742E-5,2.23845E-5,2.10363E-5,2.16665E-5,7198837519405.6
2022-01-30,2.16665E-5,2.22067E-5,2.08463E-5,2.10584E-5,6384381391356.9
2022-01-31,2.10484E-5,2.15829E-5,2.011E-5,2.13907E-5,6552301512632.6
2022-02-01,2.13907E-5,2.2001E-5,2.11406E-5,2.1753E-5,6708695089069.2
2022-02-02,2.1763E-5,2.19031E-5,2.03481E-5,2.06686E-5,5707569876588.3
2022-02-03,2.06886E-5,2.08425E-5,2.01701E-5,2.06003E-5,4471944150431.4
2022-02-04,2.06003E-5,2.22433E-5,2.05323E-5,2.19576E-5,6984919199412.1
2022-02-05,2.19676E-5,2.38967E-5,2.18753E-5,2.27737E-5,12634202514253
2022-02-06,2.27837E-5,2.87344E-5,2.22411E-5,2.71809E-5,32485594851703
2022-02-07,2.71509E-5,3.52317E-5,2.69808E-5,3.27229E-5,71199841937869
