Date,Open,High,Low,Close,Volume
2021-06-27,6.0E-6,8.0E-6,6.0E-6,8.0E-6,0
2021-07-04,8.0E-6,1.0E-5,8.0E-6,9.0E-6,0
2021-07-11,9.0E-6,9.0E-6,8.0E-6,8.0E-6,0
2021-07-18,8.0E-6,8.0E-6,7.0E-6,7.0E-6,0
2021-07-25,7.0E-6,7.0E-6,6.0E-6,6.0E-6,0
2021-08-01,6.0E-6,7.0E-6,6.0E-6,6.0E-6,0
2021-08-08,6.0E-6,9.0E-6,6.0E-6,7.0E-6,0
2021-08-15,7.0E-6,9.0E-6,7.0E-6,9.0E-6,0
2021-08-22,9.0E-6,9.0E-6,8.0E-6,8.0E-6,0
2021-08-29,8.0E-6,8.0E-6,7.0E-6,7.0E-6,0
2021-09-05,7.0E-6,8.0E-6,6.0E-6,8.0E-6,0
2021-09-12,8.0E-6,8.0E-6,5.0E-6,7.0E-6,0
2021-09-19,7.0E-6,1.0E-5,6.0E-6,8.0E-6,0
2021-09-26,8.0E-6,8.0E-6,7.0E-6,7.0E-6,0
2021-10-03,7.0E-6,9.0E-6,7.0E-6,9.0E-6,0
2021-10-10,9.0E-6,3.5E-5,8.0E-6,2.6E-5,0
2021-10-17,2.6E-5,3.2E-5,2.3E-5,2.8E-5,0
2021-10-24,2.8E-5,4.5E-5,2.6E-5,3.6E-5,0
2021-10-31,3.6E-5,8.9E-5,3.5E-5,6.7E-5,0
2021-11-07,6.7E-5,7.5E-5,4.3E-5,5.7E-5,0
2021-11-14,5.7E-5,5.9E-5,4.6E-5,5.3E-5,0
2021-11-21,5.3E-5,5.6E-5,4.1E-5,4.4E-5,0
2021-11-28,4.4E-5,4.84E-5,3.57E-5,3.82E-5,0
2021-12-05,3.82E-5,5.5E-5,3.07E-5,3.58E-5,0
2021-12-12,3.58E-5,3.88E-5,3.29E-5,3.7E-5,0
2021-12-19,3.69E-5,3.73E-5,3.02121E-5,3.10824E-5,0
2021-12-26,3.10824E-5,3.98899E-5,2.82757E-5,3.84892E-5,9082947995029
2022-01-02,3.84892E-5,3.94897E-5,3.26365E-5,3.40068E-5,67311224955411
