Date,Open,High,Low,Close,Volume
2017-10-15,0.00179,0.00339,0.00166,0.00225,0
2017-10-22,0.00297,0.00392,0.00177,0.00265,0
2017-10-29,0.00265,0.00469,0.00215,0.00269,0
2017-11-05,0.00269,0.0037,0.00202,0.00248,0
2017-11-12,0.00248,0.0031,0.00157,0.00185,0
2017-11-19,0.00185,0.00263,0.00175,0.00196,0
2017-11-26,0.00196,0.003,0.00183,0.00208,0
2017-12-03,0.00208,0.00294,0.00186,0.002,0
2017-12-10,0.002,0.00591,0.0019,0.00414,0
2017-12-17,0.00414,0.04093,0.00409,0.03417,0
2017-12-24,0.034,0.06969,0.02072,0.03812,0
2017-12-31,0.03615,0.05088,0.0288,0.04862,0
2018-01-07,0.04862,0.3876,0.04231,0.2182,0
2018-01-14,0.2163,0.219,0.08429,0.08614,0
2018-01-21,0.08614,0.1085,0.04135,0.0719,0
2018-01-28,0.07176,0.08292,0.06021,0.06748,0
2018-02-04,0.06748,0.06861,0.03225,0.03957,0
2018-02-11,0.03957,0.05565,0.02533,0.04338,0
2018-02-18,0.04338,0.05549,0.04192,0.05012,0
2018-02-25,0.05012,0.05329,0.03867,0.04051,0
2018-03-04,0.04051,0.05699,0.03876,0.04769,0
2018-03-11,0.04769,0.04849,0.0308,0.03898,0
2018-03-18,0.03898,0.03964,0.02349,0.02908,0
2018-03-25,0.02905,0.05279,0.02852,0.04703,0
2018-04-01,0.04689,0.0536,0.02846,0.0321,0
2018-04-08,0.03209,0.04608,0.02903,0.03788,0
2018-04-15,0.03788,0.04424,0.03415,0.04354,0
2018-04-22,0.04354,0.05664,0.03998,0.05363,0
2018-04-29,0.05362,0.08922,0.05194,0.0855,0
2018-05-06,0.08554,0.1008,0.08028,0.08361,0
2018-05-13,0.08361,0.08596,0.05915,0.07346,0
2018-05-20,0.07317,0.07803,0.06254,0.07787,0
2018-05-27,0.07787,0.08423,0.06505,0.06976,0
2018-06-03,0.06975,0.07054,0.05579,0.06173,0
2018-06-10,0.06173,0.06226,0.04509,0.0467,0
2018-06-17,0.0467,0.04881,0.03774,0.04279,0
2018-06-24,0.04279,0.0516,0.03804,0.04233,0
2018-07-01,0.04233,0.0436,0.03468,0.03773,0
2018-07-08,0.03773,0.04154,0.03625,0.03783,0
2018-07-15,0.03783,0.038,0.0312,0.0348,0
2018-07-22,0.0348,0.04358,0.03376,0.0353,0
2018-07-29,0.03504,0.04091,0.03289,0.03981,0
2018-08-05,0.03981,0.04061,0.02815,0.0298,0
2018-08-12,0.0298,0.03092,0.02179,0.02278,0
2018-08-19,0.02278,0.02456,0.01606,0.02206,0
2018-08-26,0.02206,0.02311,0.01921,0.0225,0
2018-09-02,0.0225,0.02787,0.02243,0.02577,0
2018-09-09,0.02577,0.02594,0.01876,0.01993,0
2018-09-16,0.01993,0.02063,0.01716,0.02001,0
2018-09-23,0.02001,0.02621,0.01811,0.02353,0
2018-09-30,0.02353,0.02419,0.02015,0.02201,0
2018-10-07,0.02201,0.02639,0.02119,0.02574,0
2018-10-14,0.02574,0.02814,0.02072,0.02424,0
2018-10-21,0.02423,0.02775,0.02291,0.02472,0
2018-10-28,0.02472,0.02476,0.02305,0.02375,0
2018-11-04,0.02378,0.02395,0.02171,0.02355,0
2018-11-11,0.02355,0.02503,0.02278,0.02293,0
2018-11-18,0.02293,0.02319,0.01761,0.01903,0
2018-11-25,0.01903,0.01911,0.01106,0.01254,0
2018-12-02,0.01254,0.01712,0.01141,0.01483,0
2018-12-09,0.01483,0.01573,0.01231,0.01376,0
2018-12-16,0.01376,0.01416,0.01267,0.01331,0
2018-12-23,0.01331,0.02302,0.0132,0.02128,0
2018-12-30,0.02128,0.02417,0.01837,0.02048,0
2019-01-06,0.02048,0.02413,0.01889,0.02327,0
2019-01-13,0.02327,0.03543,0.02097,0.02148,0
2019-01-20,0.02148,0.02692,0.02125,0.02411,0
2019-01-27,0.02411,0.03118,0.02372,0.02957,0
2019-02-03,0.02957,0.02971,0.02437,0.02569,0
2019-02-10,0.02569,0.02941,0.02514,0.0262,0
2019-02-17,0.02621,0.02658,0.02358,0.02421,0
2019-02-24,0.02421,0.02778,0.02278,0.0242,0
2019-03-03,0.0242,0.02516,0.02253,0.02337,0
2019-03-10,0.02337,0.02451,0.02112,0.02333,0
2019-03-17,0.02334,0.02491,0.02185,0.02311,0
2019-03-24,0.0231,0.02472,0.02214,0.02331,0
2019-03-31,0.02332,0.02419,0.02136,0.02355,0
2019-04-07,0.02356,0.02975,0.02328,0.02923,0
2019-04-14,0.02923,0.03192,0.02544,0.02672,0
2019-04-21,0.02672,0.02766,0.02445,0.02499,0
2019-04-28,0.02499,0.02555,0.02237,0.02335,0
2019-05-05,0.02334,0.02497,0.02188,0.02387,0
2019-05-12,0.02382,0.02653,0.02248,0.02409,0
2019-05-19,0.02409,0.03291,0.02372,0.02834,0
2019-05-26,0.02841,0.03196,0.02571,0.03185,0
2019-06-02,0.03185,0.04086,0.02976,0.0382,0
2019-06-09,0.03826,0.03925,0.0293,0.0294,0
2019-06-16,0.02938,0.03372,0.02913,0.03272,0
2019-06-23,0.03272,0.03873,0.03213,0.03751,0
2019-06-30,0.03745,0.04015,0.03003,0.03306,0
2019-07-07,0.03306,0.03558,0.03036,0.03541,0
2019-07-14,0.03541,0.0358,0.02559,0.02659,0
2019-07-21,0.02659,0.03061,0.02043,0.0284,0
2019-07-28,0.02845,0.02994,0.02176,0.02212,0
2019-08-04,0.02212,0.02284,0.02122,0.02222,0
2019-08-11,0.02222,0.02336,0.0195,0.02067,0
2019-08-18,0.02067,0.02107,0.01595,0.01787,0
2019-08-25,0.01788,0.01862,0.01631,0.01749,0
2019-09-01,0.01749,0.01806,0.01517,0.01555,0
2019-09-08,0.01555,0.01624,0.01396,0.01573,0
2019-09-15,0.01573,0.01615,0.01443,0.01553,0
2019-09-22,0.01553,0.01862,0.01527,0.01693,0
2019-09-29,0.01692,0.01707,0.01194,0.01335,0
2019-10-06,0.01335,0.01542,0.0133,0.01467,0
2019-10-13,0.01468,0.01757,0.01439,0.0163,0
2019-10-20,0.01641,0.01683,0.01454,0.01554,0
2019-10-27,0.01554,0.01973,0.0137,0.0195,0
2019-11-03,0.0195,0.02292,0.01916,0.01965,0
2019-11-10,0.01965,0.02065,0.01837,0.01943,0
2019-11-17,0.01947,0.02028,0.01819,0.01889,0
2019-11-24,0.01889,0.01892,0.01348,0.01411,0
2019-12-01,0.01412,0.01648,0.01306,0.01597,0
2019-12-08,0.01595,0.01614,0.0141,0.01471,0
2019-12-15,0.01471,0.01514,0.01331,0.01406,0
2019-12-22,0.01406,0.01502,0.01204,0.01491,0
2019-12-29,0.01491,0.01596,0.01298,0.01379,0
2020-01-05,0.01379,0.01395,0.0127,0.01353,0
2020-01-12,0.01354,0.01506,0.01347,0.0149,0
2020-01-19,0.0149,0.01816,0.01455,0.01685,0
2020-01-26,0.01685,0.01766,0.01572,0.01674,0
2020-02-02,0.01674,0.01983,0.01672,0.01922,0
2020-02-09,0.01923,0.02355,0.01844,0.02184,0
2020-02-16,0.02184,0.02678,0.02033,0.02189,0
2020-02-23,0.02189,0.02294,0.01904,0.02107,0
2020-03-01,0.02108,0.02149,0.01578,0.01655,0
2020-03-08,0.01656,0.01842,0.01517,0.01536,0
2020-03-15,0.01536,0.01555,0.0072,0.01022,0
2020-03-22,0.01021,0.0127,0.008508,0.01034,0
2020-03-29,0.01036,0.01217,0.01009,0.0108,0
2020-04-05,0.01079,0.01279,0.01065,0.01245,0
2020-04-12,0.01244,0.01409,0.01204,0.01309,0
2020-04-19,0.0131,0.01363,0.0118,0.01311,0
2020-04-26,0.0131,0.01433,0.01223,0.01421,0
2020-05-03,0.0142,0.01674,0.01409,0.01593,0
2020-05-10,0.01594,0.01667,0.0135,0.01431,0
2020-05-17,0.01431,0.0156,0.0133,0.01506,0
2020-05-24,0.01506,0.01573,0.01393,0.0147,0
2020-05-31,0.0147,0.01715,0.01409,0.01651,0
2020-06-07,0.01651,0.01813,0.01568,0.01799,0
2020-06-14,0.01799,0.01854,0.01534,0.01625,0
2020-06-21,0.01625,0.01648,0.01512,0.01588,0
2020-06-28,0.01588,0.01681,0.01489,0.01576,0
2020-07-05,0.01576,0.01723,0.01568,0.01659,0
2020-07-12,0.01659,0.01911,0.01657,0.01807,0
2020-07-19,0.01807,0.01841,0.01671,0.01744,0
2020-07-26,0.01744,0.01928,0.01695,0.01853,0
2020-08-02,0.01853,0.02134,0.01772,0.01909,0
2020-08-09,0.01914,0.02103,0.01881,0.02045,0
2020-08-16,0.02045,0.02838,0.0191,0.0279,0
